,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sean Elliott,27,77,77,37.7,6.8,14.6,.466,2.1,5.1,.411,4.7,9.5,.495,.537,4.2,5.5,.771,0.9,4.2,5.1,2.7,0.9,0.4,2.6,2.3,20.0
1,Avery Johnson,30,82,82,37.6,5.3,10.8,.494,0.1,0.4,.194,5.3,10.4,.505,.497,2.3,3.2,.721,0.5,2.1,2.5,9.6,1.5,0.3,2.4,2.2,13.1
2,David Robinson,30,82,82,36.8,8.7,16.8,.516,0.0,0.1,.333,8.6,16.7,.517,.517,7.6,10.0,.761,3.9,8.3,12.2,3.0,1.4,3.3,2.3,3.2,25.0
3,Vinny Del Negro,29,82,82,33.7,5.8,11.7,.497,0.7,1.8,.380,5.1,9.9,.518,.527,2.2,2.6,.832,0.4,2.9,3.3,3.8,1.0,0.1,1.2,2.0,14.5
4,Chuck Person,31,80,16,26.6,3.9,8.8,.437,2.4,5.8,.410,1.5,3.0,.488,.572,0.8,1.3,.644,1.0,4.2,5.2,1.3,0.6,0.3,1.1,2.5,10.9
5,Charles Smith,30,32,30,25.8,4.1,8.9,.458,0.0,0.0,,4.1,8.9,.458,.458,1.4,1.9,.767,2.3,4.0,6.3,1.1,1.0,0.9,1.4,3.1,9.6
6,J.R. Reid,27,32,5,20.1,2.3,5.1,.439,0.0,0.0,.000,2.3,5.1,.442,.439,2.0,2.7,.736,1.1,2.8,3.8,0.4,0.8,0.3,1.5,3.1,6.5
7,Will Perdue,30,80,22,17.5,2.2,4.1,.523,0.0,0.0,.000,2.2,4.1,.524,.523,0.8,1.6,.536,2.2,3.9,6.1,0.4,0.4,0.9,1.1,2.3,5.2
8,Doc Rivers,34,78,0,15.8,1.4,3.7,.372,0.6,1.8,.343,0.8,2.0,.399,.453,0.6,0.8,.750,0.4,1.4,1.8,1.6,0.9,0.3,0.7,2.2,4.0
9,Cory Alexander,22,60,0,9.3,1.1,2.6,.406,0.4,1.1,.394,0.6,1.5,.416,.490,0.3,0.4,.640,0.2,0.6,0.7,2.0,0.5,0.0,1.1,1.6,2.8
10,Carl Herrera,29,44,6,8.9,0.9,2.2,.412,0.0,0.0,.000,0.9,2.2,.417,.412,0.1,0.4,.294,0.7,1.2,1.8,0.4,0.2,0.2,0.7,1.4,1.9
11,Brad Lohaus,31,32,1,8.5,1.2,3.0,.406,0.8,2.0,.415,0.4,1.0,.387,.547,0.1,0.1,.667,0.2,0.9,1.0,0.5,0.1,0.2,0.3,1.1,3.3
12,Greg Anderson,31,46,7,7.5,0.5,1.0,.511,0.0,0.0,.000,0.5,1.0,.522,.511,0.1,0.5,.240,0.6,1.5,2.2,0.2,0.2,0.5,0.5,1.4,1.2
13,Monty Williams,24,17,0,7.2,1.2,2.7,.435,0.0,0.1,.000,1.2,2.6,.444,.435,0.5,0.7,.750,0.6,0.7,1.4,0.2,0.2,0.1,0.8,1.0,2.9
14,Dell Demps,25,16,0,5.4,1.2,2.1,.576,0.1,0.1,.500,1.1,1.9,.581,.591,0.9,1.1,.824,0.1,0.4,0.6,0.5,0.2,0.1,0.8,0.6,3.3
