,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Byron Scott,26,81,81,37.6,8.8,16.6,.527,0.8,2.2,.346,8.0,14.4,.554,.550,3.4,3.9,.858,0.9,3.2,4.1,4.1,1.9,0.3,2.0,2.5,21.7
1,Magic Johnson,28,72,70,36.6,6.8,13.8,.492,0.2,0.8,.196,6.7,13.1,.510,.497,5.8,6.8,.853,1.2,5.0,6.2,11.9,1.6,0.2,3.7,2.0,19.6
2,James Worthy,26,75,72,35.4,8.2,15.5,.531,0.0,0.2,.125,8.2,15.3,.537,.532,3.2,4.1,.796,1.7,3.3,5.0,3.9,1.0,0.7,2.1,2.3,19.7
3,A.C. Green,24,82,64,32.1,3.9,7.8,.503,0.0,0.0,.000,3.9,7.8,.505,.503,3.6,4.6,.773,3.0,5.7,8.7,1.1,1.1,0.5,1.5,2.5,11.4
4,Michael Cooper,31,61,8,29.4,3.1,7.9,.392,0.9,2.9,.320,2.2,5.0,.434,.451,1.6,1.9,.858,0.8,2.9,3.7,4.7,1.1,0.4,1.7,2.2,8.7
5,Kareem Abdul-Jabbar,40,80,80,28.9,6.0,11.3,.532,0.0,0.0,.000,6.0,11.3,.532,.532,2.6,3.4,.762,1.5,4.5,6.0,1.7,0.6,1.2,2.0,2.7,14.6
6,Mychal Thompson,33,80,0,25.1,4.6,9.0,.512,0.0,0.0,.000,4.6,9.0,.515,.512,2.3,3.7,.634,2.5,3.6,6.1,0.8,0.5,1.0,1.4,3.1,11.6
7,Tony Campbell,25,13,1,18.6,4.4,7.8,.564,0.1,0.2,.333,4.3,7.5,.571,.569,2.2,3.0,.718,0.6,1.5,2.1,1.2,0.8,0.2,2.0,3.2,11.0
8,Wes Matthews,28,51,8,13.8,2.2,4.9,.460,0.1,0.6,.233,2.1,4.3,.491,.474,1.1,1.3,.831,0.3,1.0,1.3,2.7,0.5,0.1,1.4,1.3,5.7
9,Kurt Rambis,29,70,20,12.1,1.5,2.7,.548,0.0,0.0,,1.5,2.7,.548,.548,1.0,1.3,.785,1.5,2.4,3.8,0.8,0.6,0.2,0.8,1.5,4.0
10,Milt Wagner,24,40,4,9.5,1.6,3.7,.422,0.1,0.3,.200,1.5,3.4,.438,.429,0.7,0.7,.897,0.1,0.6,0.7,1.5,0.2,0.1,0.6,1.1,3.8
11,Mike Smrek,25,48,2,8.8,0.9,2.1,.427,0.0,0.0,,0.9,2.1,.427,.427,0.9,1.4,.667,0.6,1.2,1.8,0.2,0.1,0.9,0.6,2.2,2.8
12,Ray Tolbert,29,14,0,5.9,1.1,2.0,.571,0.0,0.0,,1.1,2.0,.571,.571,0.7,0.9,.769,0.6,0.8,1.4,0.4,0.2,0.2,0.8,1.0,3.0
13,Billy Thompson,24,9,0,4.2,0.3,1.4,.231,0.0,0.0,,0.3,1.4,.231,.231,0.9,1.1,.800,0.2,0.8,1.0,0.1,0.1,0.0,0.7,1.2,1.6
14,Jeff Lamp,28,3,0,2.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.7,0.7,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7
