,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Michael Jordan,32,82,82,37.7,11.2,22.6,.495,1.4,3.2,.427,9.8,19.4,.506,.525,6.7,8.0,.834,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4
1,Scottie Pippen,30,77,77,36.7,7.3,15.8,.463,1.9,5.2,.374,5.4,10.6,.507,.525,2.9,4.2,.679,2.0,4.5,6.4,5.9,1.7,0.7,2.7,2.6,19.4
2,Dennis Rodman,34,64,57,32.6,2.3,4.8,.480,0.0,0.4,.111,2.2,4.3,.516,.485,0.9,1.7,.528,5.6,9.3,14.9,2.5,0.6,0.4,2.2,3.1,5.5
3,Luc Longley,27,62,62,26.5,3.9,8.1,.482,0.0,0.0,,3.9,8.1,.482,.482,1.3,1.7,.777,1.7,3.5,5.1,1.9,0.4,1.4,1.8,3.6,9.1
4,Toni Kukoč,27,81,20,26.0,4.8,9.7,.490,1.1,2.7,.403,3.7,7.0,.524,.546,2.5,3.3,.772,1.4,2.6,4.0,3.5,0.8,0.3,1.4,1.9,13.1
5,Ron Harper,32,80,80,23.6,2.9,6.3,.467,0.4,1.3,.269,2.6,5.0,.519,.495,1.2,1.7,.705,0.9,1.7,2.7,2.6,1.3,0.4,0.9,1.7,7.4
6,Steve Kerr,30,82,0,23.4,3.0,5.9,.506,1.5,2.9,.515,1.5,3.0,.498,.633,1.0,1.0,.929,0.3,1.0,1.3,2.3,0.8,0.0,0.5,1.3,8.4
7,Bill Wennington,32,71,20,15.0,2.4,4.8,.493,0.0,0.0,1.000,2.4,4.8,.491,.494,0.5,0.6,.860,0.8,1.6,2.5,0.6,0.3,0.2,0.5,2.4,5.3
8,Dickey Simpkins,23,60,12,11.4,1.3,2.7,.481,0.0,0.0,1.000,1.3,2.7,.478,.484,1.0,1.6,.629,1.1,1.5,2.6,0.6,0.2,0.1,0.9,1.3,3.6
9,John Salley,31,17,0,11.2,0.7,2.1,.343,0.0,0.0,,0.7,2.1,.343,.343,0.7,1.2,.600,1.2,1.4,2.5,0.9,0.5,0.9,0.9,2.2,2.1
10,Jud Buechler,27,74,0,10.0,1.5,3.3,.463,0.5,1.2,.444,1.0,2.1,.474,.545,0.2,0.3,.636,0.6,0.9,1.5,0.8,0.5,0.1,0.5,0.9,3.8
11,Randy Brown,27,68,0,9.9,1.1,2.8,.406,0.0,0.2,.091,1.1,2.7,.425,.409,0.4,0.7,.609,0.3,0.7,1.0,1.1,0.8,0.2,0.5,1.3,2.7
12,James Edwards,40,28,0,9.8,1.5,3.9,.373,0.0,0.0,,1.5,3.9,.373,.373,0.6,0.9,.615,0.5,0.9,1.4,0.4,0.0,0.3,0.8,2.2,3.5
13,Jason Caffey,22,57,0,9.6,1.2,2.8,.438,0.0,0.0,.000,1.2,2.8,.441,.438,0.7,1.2,.588,0.9,1.1,1.9,0.4,0.2,0.1,0.8,1.6,3.2
14,Jack Haley,32,1,0,7.0,2.0,6.0,.333,0.0,0.0,,2.0,6.0,.333,.333,1.0,2.0,.500,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0
