,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Magic Johnson,27,80,80,36.3,8.5,16.4,.522,0.1,0.5,.205,8.4,15.9,.532,.525,6.7,7.9,.848,1.5,4.8,6.3,12.2,1.7,0.5,3.8,2.1,23.9
1,James Worthy,25,82,82,34.4,7.9,14.7,.539,0.0,0.2,.000,7.9,14.6,.545,.539,3.6,4.7,.751,1.9,3.8,5.7,2.8,1.3,1.0,2.0,2.5,19.4
2,Byron Scott,25,82,82,33.3,6.8,13.8,.489,0.8,1.8,.436,6.0,12.0,.496,.517,2.7,3.1,.892,0.8,2.7,3.5,3.4,1.5,0.2,1.8,2.0,17.0
3,Kareem Abdul-Jabbar,39,78,78,31.3,7.2,12.7,.564,0.0,0.0,.333,7.2,12.7,.565,.564,3.1,4.4,.714,1.9,4.8,6.7,2.6,0.6,1.2,2.4,3.1,17.5
4,A.C. Green,23,79,72,28.4,4.0,7.4,.538,0.0,0.1,.000,4.0,7.4,.543,.538,2.8,3.6,.780,2.7,5.1,7.8,1.1,0.9,1.0,1.3,2.2,10.8
5,Michael Cooper,30,82,2,27.5,3.9,9.0,.438,1.1,2.8,.385,2.8,6.2,.461,.498,1.5,1.8,.851,0.7,2.4,3.1,4.5,1.0,0.5,1.2,2.4,10.5
6,Mychal Thompson,32,33,1,20.6,3.9,8.2,.480,0.0,0.0,.000,3.9,8.1,.481,.480,2.3,3.1,.743,1.4,2.7,4.1,0.8,0.4,0.9,1.7,2.6,10.1
7,Kurt Rambis,28,78,10,19.4,2.1,4.0,.521,0.0,0.0,,2.1,4.0,.521,.521,1.5,2.0,.764,2.0,3.8,5.8,0.8,0.9,0.5,1.3,2.6,5.7
8,Billy Thompson,23,59,0,12.9,2.4,4.4,.544,0.0,0.0,.000,2.4,4.4,.546,.544,0.8,1.3,.649,1.2,1.7,2.9,1.0,0.3,0.5,1.0,2.5,5.6
9,Frank Brickowski,27,37,0,10.9,1.4,2.5,.564,0.0,0.0,,1.4,2.5,.564,.564,1.1,1.6,.678,1.1,1.5,2.6,0.3,0.4,0.1,0.7,2.8,3.9
10,Wes Matthews,27,50,0,10.6,1.8,3.7,.476,0.0,0.1,.333,1.8,3.7,.478,.479,0.6,0.7,.806,0.3,0.7,0.9,2.0,0.5,0.1,1.0,1.1,4.2
11,Adrian Branch,23,32,0,6.8,1.5,3.0,.500,0.0,0.1,.000,1.5,2.9,.511,.500,1.3,1.7,.778,0.7,0.9,1.7,0.5,0.5,0.1,0.8,1.2,4.3
12,Mike Smrek,24,35,3,6.7,0.9,1.7,.500,0.0,0.0,,0.9,1.7,.500,.500,0.5,0.7,.640,0.4,0.7,1.1,0.1,0.1,0.4,0.5,2.0,2.2
