Player,Age,Team,Pos,G,MP,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Joe Caldwell,25,STL,SF,81,27.9,5.7,13.3,.426,5.7,13.3,.426,.426,2.5,3.8,.649,5.5,2.0,2.8,13.8,
Richie Guerin,34,STL,SG,80,28.4,4.9,11.3,.436,4.9,11.3,.436,.436,3.8,5.2,.731,2.4,4.3,3.1,13.7,
Bill Russell,32,BOS,C,81,40.7,4.9,10.7,.454,4.9,10.7,.454,.454,3.5,5.8,.610,21.0,5.8,3.2,13.3,"MVP-3,AS,NBA2"
Wali Jones,24,PHI,PG,81,27.8,5.2,12.1,.431,5.2,12.1,.431,.431,2.8,3.3,.838,3.3,3.7,3.0,13.2,
Dave Stallworth,25,NYK,SF,76,24.9,5.0,10.7,.466,5.0,10.7,.466,.466,3.0,4.2,.716,6.2,1.9,3.0,13.0,
Jeff Mullins,24,SFW,SG,77,23.8,5.5,11.9,.458,5.5,11.9,.458,.458,1.9,2.8,.701,5.0,2.9,2.5,12.9,
Rudy LaRusso,29,LAL,PF,45,28.7,4.7,11.3,.415,4.7,11.3,.415,.415,3.5,5.0,.696,7.8,1.7,3.3,12.8,
Erwin Mueller,22,CHI,C,80,26.7,5.3,12.0,.441,5.3,12.0,.441,.441,2.1,3.3,.658,6.2,1.6,2.8,12.7,
Gail Goodrich,23,LAL,SG,77,23.1,4.6,10.1,.454,4.6,10.1,.454,.454,3.3,4.4,.751,3.3,2.7,2.5,12.4,
Tom Van Arsdale,23,DET,SG,79,27.0,4.4,11.2,.391,4.4,11.2,.391,.391,3.4,4.4,.784,4.3,2.4,3.1,12.2,
Fred Hetzel,24,SFW,PF,77,27.6,4.8,12.1,.400,4.8,12.1,.400,.400,2.5,3.1,.810,8.3,1.4,3.0,12.2,
George Lee,30,SFW,,1,5.0,3.0,4.0,.750,3.0,4.0,.750,.750,6.0,7.0,.857,0.0,0.0,0.0,12.0,
Luke Jackson,25,PHI,PF,81,29.3,4.8,10.9,.438,4.8,10.9,.438,.438,2.4,3.2,.759,8.9,1.4,3.4,12.0,
Cazzie Russell,22,NYK,SF,77,22.0,4.5,10.2,.436,4.5,10.2,.436,.436,2.3,3.0,.785,3.3,2.4,2.3,11.3,
Jim King,25,SFW,SG,67,24.9,4.3,10.2,.418,4.3,10.2,.418,.418,2.6,3.3,.787,4.8,3.6,2.9,11.1,
Darrall Imhoff,28,LAL,C,81,33.6,4.6,9.6,.474,4.6,9.6,.474,.474,1.6,2.6,.614,13.3,2.7,3.5,10.7,AS
Tom Meschery,28,SFW,PF,72,25.6,4.1,9.8,.415,4.1,9.8,.415,.415,2.4,3.4,.717,7.6,1.3,3.7,10.6,
Archie Clark,25,LAL,SG,76,23.2,4.4,9.6,.452,4.4,9.6,.452,.452,1.8,2.5,.708,2.9,2.7,2.5,10.5,ROY-3
Tom Sanders,28,BOS,SF,81,23.8,4.0,9.3,.428,4.0,9.3,.428,.428,2.2,2.7,.817,5.4,1.1,3.8,10.2,
Don Kojis,28,CHI,SF,78,21.2,4.2,9.9,.426,4.2,9.9,.426,.426,1.7,2.8,.604,6.1,0.9,2.6,10.2,
Johnny Egan,28,BAL,PG,71,24.5,3.8,8.8,.428,3.8,8.8,.428,.428,2.6,3.1,.845,2.5,3.9,2.7,10.1,
John Tresvant,27,DET,PF,68,22.8,3.8,8.6,.438,3.8,8.6,.438,.438,2.4,3.4,.701,7.1,1.3,3.6,9.9,
Jack Marin,22,BAL,SF,74,17.9,3.8,8.5,.448,3.8,8.5,.448,.448,2.0,2.5,.775,4.2,1.0,2.7,9.6,
Joe Strawder,26,DET,C,79,27.3,3.6,8.4,.426,3.6,8.4,.426,.426,2.4,3.3,.718,10.0,1.0,4.4,9.5,
Walt Hazzard,24,LAL,PG,79,20.8,3.8,8.9,.426,3.8,8.9,.426,.426,1.6,2.2,.729,2.9,4.1,2.6,9.3,
Connie Dierking,30,CIN,C,77,24.7,3.8,9.5,.399,3.8,9.5,.399,.399,1.7,2.3,.744,7.8,2.1,3.3,9.3,
McCoy McLemore,24,CHI,SF,79,17.5,3.3,8.5,.385,3.3,8.5,.385,.385,2.7,3.4,.772,4.7,0.8,2.4,9.2,
Rod Thorn,25,STL,PG,67,17.4,3.5,7.8,.445,3.5,7.8,.445,.445,1.9,2.6,.727,2.4,1.8,1.3,8.8,
Flynn Robinson,25,CIN,PG,76,15.0,3.6,7.9,.457,3.6,7.9,.457,.457,1.6,2.0,.779,1.8,1.4,2.6,8.8,
Em Bryant,28,NYK,PG,63,25.3,3.7,9.2,.409,3.7,9.2,.409,.409,1.2,1.8,.649,4.3,3.5,3.7,8.7,
Wayne Hightower,27,2TM,PF,72,18.2,2.7,7.9,.344,2.7,7.9,.344,.344,2.1,2.9,.729,5.6,0.9,2.6,7.5,
Wayne Hightower,27,BAL,PF,43,17.3,2.4,7.2,.334,2.4,7.2,.334,.334,2.1,2.9,.718,5.6,0.8,2.6,6.9,
