,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Orlando Woolridge,26,70,59,32.1,7.7,15.6,.495,0.1,0.3,.174,7.7,15.2,.502,.497,5.2,6.6,.788,2.1,2.9,5.0,3.0,0.7,0.7,2.5,2.7,20.7
1,Kyle Macy,28,82,79,29.6,3.5,7.2,.483,0.7,1.7,.411,2.8,5.5,.506,.532,0.9,1.1,.811,0.5,1.7,2.2,5.4,1.0,0.1,1.4,2.5,8.6
2,Sidney Green,25,80,68,28.8,5.1,10.9,.465,0.0,0.1,.000,5.1,10.8,.469,.465,3.3,4.2,.782,2.6,5.6,8.2,1.7,0.9,0.5,2.8,3.7,13.5
3,Gene Banks,26,82,33,26.1,4.3,8.4,.517,0.0,0.2,.000,4.3,8.2,.532,.517,2.2,3.1,.718,2.2,2.2,4.4,3.1,1.0,0.1,1.7,2.6,10.9
4,Dave Corzine,29,67,4,25.5,3.8,7.7,.491,0.0,0.2,.250,3.8,7.6,.497,.494,1.9,2.6,.743,2.0,4.5,6.5,2.2,0.4,0.8,1.6,2.0,9.6
5,George Gervin,33,82,75,25.2,6.3,13.4,.472,0.0,0.2,.211,6.3,13.2,.476,.474,3.5,3.9,.879,1.0,1.7,2.6,1.8,0.6,0.3,2.0,2.6,16.2
6,Michael Jordan,22,18,7,25.1,8.3,18.2,.457,0.2,1.0,.167,8.2,17.2,.474,.462,5.8,6.9,.840,1.3,2.3,3.6,2.9,2.1,1.2,2.5,2.6,22.7
7,Jawann Oldham,28,52,47,24.5,3.2,6.2,.517,0.0,0.0,.000,3.2,6.2,.519,.517,1.0,1.8,.582,2.2,3.7,5.9,0.7,0.5,2.6,1.7,4.0,7.4
8,Charles Oakley,22,77,30,23.0,3.6,7.0,.519,0.0,0.0,.000,3.6,7.0,.522,.519,2.3,3.5,.662,3.3,5.3,8.6,1.7,0.9,0.4,2.3,3.2,9.6
9,John Paxson,25,75,3,20.9,2.0,4.4,.466,0.2,0.7,.300,1.8,3.7,.496,.489,1.0,1.2,.804,0.2,1.0,1.3,3.7,0.7,0.0,0.8,2.3,5.3
10,Quintin Dailey,25,35,0,20.7,5.8,13.4,.432,0.0,0.2,.000,5.8,13.2,.439,.432,4.7,5.7,.823,0.6,1.4,1.9,1.9,0.6,0.1,1.9,2.5,16.3
11,Michael Holton,24,24,0,18.6,3.0,6.5,.471,0.0,0.4,.100,3.0,6.0,.497,.474,1.0,1.6,.632,0.4,0.8,1.3,2.0,1.0,0.0,1.0,1.7,7.1
12,Rod Higgins,26,5,0,16.2,1.8,4.6,.391,0.0,0.2,.000,1.8,4.4,.409,.391,1.0,1.2,.833,0.6,0.8,1.4,1.0,0.8,0.6,0.4,2.2,4.6
13,Tony Brown,25,10,0,13.2,1.8,4.1,.439,0.0,0.2,.000,1.8,3.9,.462,.439,0.9,1.3,.692,0.5,1.1,1.6,1.4,0.5,0.1,0.4,1.6,4.5
14,Mike Smrek,23,38,5,10.7,1.2,3.2,.377,0.0,0.1,.000,1.2,3.2,.383,.377,0.4,0.8,.552,1.2,1.7,2.9,0.5,0.2,0.6,0.8,2.5,2.8
15,Billy McKinney,30,9,0,9.2,1.1,2.6,.435,0.0,0.0,,1.1,2.6,.435,.435,0.2,0.2,1.000,0.1,0.4,0.6,1.4,0.3,0.0,0.2,1.0,2.4
16,Ron Brewer,30,4,0,4.5,0.8,2.3,.333,0.0,0.0,,0.8,2.3,.333,.333,0.3,0.3,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,1.8
