,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Michael Jordan,25,81,81,40.2,11.9,22.2,.538,0.3,1.2,.276,11.6,21.0,.553,.546,8.3,9.8,.850,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0,32.5
1,Horace Grant,23,79,79,35.6,5.1,9.9,.519,0.0,0.1,.000,5.1,9.8,.522,.519,1.8,2.5,.704,3.0,5.6,8.6,2.1,1.1,0.8,1.6,3.2,12.0
2,Scottie Pippen,23,73,56,33.1,5.7,11.9,.476,0.3,1.1,.273,5.4,10.8,.496,.488,2.8,4.1,.668,1.9,4.2,6.1,3.5,1.9,0.8,2.7,3.6,14.4
3,Bill Cartwright,31,78,76,29.9,4.7,9.8,.475,0.0,0.0,,4.7,9.8,.475,.475,3.0,3.9,.766,1.9,4.7,6.7,1.2,0.3,0.5,2.4,3.0,12.4
4,Sam Vincent,25,70,56,24.3,3.9,8.1,.484,0.0,0.2,.118,3.9,7.8,.495,.486,1.5,1.8,.822,0.5,2.2,2.7,4.8,0.8,0.1,2.0,1.8,9.4
5,Craig Hodges,28,49,6,22.7,3.8,8.0,.475,1.4,3.4,.423,2.4,4.6,.513,.565,0.9,1.1,.849,0.4,1.3,1.7,2.8,0.8,0.1,1.1,1.7,10.0
6,John Paxson,28,78,20,22.3,3.2,6.6,.480,0.6,1.7,.331,2.6,4.9,.532,.522,0.4,0.5,.861,0.2,1.0,1.2,3.9,0.7,0.1,0.9,2.1,7.3
7,Brad Sellers,26,80,25,21.7,2.9,6.0,.485,0.0,0.1,.500,2.9,5.9,.485,.488,1.1,1.3,.851,1.1,1.8,2.8,1.2,0.4,0.9,0.9,2.2,6.9
8,Dave Corzine,32,81,7,18.3,2.5,5.4,.461,0.0,0.1,.250,2.5,5.3,.465,.464,0.9,1.2,.740,1.1,2.8,3.9,1.3,0.4,0.6,1.1,1.7,5.9
9,Charles Davis,30,49,3,11.1,1.7,3.9,.426,0.1,0.3,.267,1.6,3.6,.440,.437,0.4,0.5,.731,1.0,1.4,2.3,0.6,0.2,0.1,0.4,1.2,3.8
10,Anthony Jones,26,8,0,8.1,0.6,1.9,.333,0.0,0.1,.000,0.6,1.8,.357,.333,0.3,0.3,1.000,0.5,0.5,1.0,0.5,0.3,0.1,0.1,0.9,1.5
11,Ed Nealy,28,13,0,7.2,0.4,0.5,.714,0.0,0.0,,0.4,0.5,.714,.714,0.1,0.2,.500,0.3,1.5,1.8,0.5,0.2,0.1,0.1,1.8,0.8
12,Will Perdue,23,30,0,6.3,1.0,2.4,.403,0.0,0.0,,1.0,2.4,.403,.403,0.3,0.5,.571,0.6,0.9,1.5,0.4,0.1,0.2,0.5,1.3,2.2
13,Jack Haley,25,51,1,5.7,0.7,1.5,.474,0.0,0.0,,0.7,1.5,.474,.474,0.7,0.9,.783,0.4,1.0,1.4,0.2,0.2,0.0,0.5,1.1,2.2
14,Dominic Pressley,24,3,0,5.7,0.3,2.0,.167,0.0,0.7,.000,0.3,1.3,.250,.167,0.0,0.0,,0.0,0.3,0.3,1.3,0.0,0.0,0.0,0.7,0.7
15,David Wood,24,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
