,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,David Robinson,24,82,81,36.6,8.4,15.9,.531,0.0,0.0,.000,8.4,15.8,.532,.531,7.5,10.2,.732,3.7,8.3,12.0,2.0,1.7,3.9,3.1,3.2,24.3
1,Rod Strickland,23,31,24,36.2,5.6,11.9,.468,0.1,0.3,.222,5.5,11.6,.474,.470,2.9,4.8,.615,1.5,2.8,4.3,8.0,1.8,0.2,2.7,2.9,14.2
2,Maurice Cheeks,33,50,49,35.3,4.3,9.0,.478,0.0,0.2,.111,4.3,8.8,.485,.479,2.3,2.7,.832,0.8,2.6,3.3,6.0,1.6,0.1,1.7,0.9,10.9
3,Terry Cummings,28,81,78,34.8,9.0,18.9,.475,0.2,0.7,.322,8.8,18.2,.481,.481,4.2,5.4,.780,2.8,5.6,8.4,2.7,1.4,0.6,2.5,3.5,22.4
4,Willie Anderson,23,82,81,34.0,6.5,13.2,.492,0.1,0.3,.269,6.4,12.9,.497,.495,2.6,3.5,.748,1.4,3.1,4.5,4.4,1.4,0.7,2.4,3.1,15.7
5,Sean Elliott,21,81,69,25.1,3.8,8.0,.481,0.0,0.1,.111,3.8,7.9,.486,.481,2.3,2.7,.866,1.6,2.1,3.7,1.9,0.6,0.2,1.4,2.1,10.0
6,David Wingate,26,78,2,23.8,2.8,6.3,.448,0.0,0.2,.000,2.8,6.1,.460,.448,1.1,1.4,.777,0.8,1.7,2.5,2.7,1.1,0.2,1.6,2.0,6.8
7,Vernon Maxwell,24,49,2,22.8,2.7,6.2,.435,0.3,1.1,.288,2.4,5.2,.465,.459,1.2,1.9,.621,0.7,2.2,2.9,3.0,0.9,0.1,1.4,1.6,6.9
8,Frank Brickowski,30,78,12,18.4,2.7,5.0,.545,0.0,0.0,.000,2.7,4.9,.548,.545,1.2,1.8,.674,1.1,3.1,4.2,1.3,0.8,0.5,1.2,2.9,6.6
9,Caldwell Jones,39,72,2,12.3,0.9,2.0,.465,0.0,0.1,.200,0.9,1.9,.475,.469,0.5,0.8,.704,1.1,2.1,3.2,0.3,0.3,0.4,0.7,2.0,2.4
10,Johnny Moore,31,53,8,9.7,0.9,2.4,.373,0.2,0.6,.235,0.7,1.7,.424,.405,0.3,0.5,.593,0.3,0.7,1.0,1.5,0.6,0.1,0.7,1.0,2.2
11,Jeff Lebo,23,4,0,8.0,0.5,1.8,.286,0.0,0.0,,0.5,1.8,.286,.286,0.5,0.5,1.000,0.5,0.5,1.0,0.8,0.5,0.0,0.3,1.8,1.5
12,Uwe Blab,27,7,0,7.1,0.9,1.6,.545,0.0,0.0,,0.9,1.6,.545,.545,0.4,0.9,.500,0.1,1.1,1.3,0.1,0.0,0.0,0.7,1.3,2.1
13,Reggie Williams,25,10,0,6.8,1.9,4.2,.452,0.0,0.5,.000,1.9,3.7,.514,.452,0.4,0.6,.667,0.3,0.5,0.8,0.5,0.1,0.3,0.4,1.6,4.2
14,Žarko Paspalj,23,28,1,6.5,1.0,2.8,.342,0.0,0.0,.000,1.0,2.8,.346,.342,0.6,0.8,.818,0.5,0.5,1.1,0.4,0.1,0.3,0.8,1.3,2.6
15,Chris Welp,26,13,1,4.3,0.5,1.8,.304,0.0,0.0,,0.5,1.8,.304,.304,0.1,0.2,.500,0.5,0.4,0.9,0.4,0.1,0.0,0.5,1.6,1.2
