,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,David Robinson,27,82,82,39.2,8.2,16.4,.501,0.0,0.2,.176,8.2,16.2,.506,.503,6.8,9.3,.732,2.8,8.9,11.7,3.7,1.5,3.2,2.9,2.9,23.4
1,Sean Elliott,24,70,70,37.2,6.4,13.1,.491,0.5,1.5,.356,5.9,11.6,.509,.511,3.8,4.8,.795,1.2,3.4,4.6,3.8,1.0,0.4,2.2,1.9,17.2
2,Dale Ellis,32,82,76,33.3,6.6,13.3,.499,1.5,3.6,.401,5.2,9.7,.536,.554,1.9,2.4,.797,1.0,2.8,3.8,1.3,1.0,0.2,1.4,2.2,16.7
3,Antoine Carr,31,71,46,27.4,5.3,9.9,.538,0.0,0.1,.000,5.3,9.9,.541,.538,2.5,3.2,.777,1.5,4.0,5.5,1.4,0.5,1.2,1.4,3.7,13.1
4,Avery Johnson,27,75,49,27.1,3.4,6.8,.502,0.0,0.1,.000,3.4,6.7,.510,.502,1.9,2.4,.791,0.3,1.7,1.9,7.5,1.1,0.2,1.9,1.9,8.7
5,J.R. Reid,24,66,24,24.1,3.7,7.5,.485,0.0,0.1,.000,3.7,7.5,.489,.485,2.6,3.4,.770,1.5,4.3,5.8,0.8,0.5,0.4,1.5,3.3,9.9
6,Vinny Del Negro,26,73,31,20.9,3.0,5.9,.507,0.1,0.3,.250,2.9,5.6,.522,.514,1.4,1.6,.863,0.3,2.0,2.2,4.0,0.6,0.0,1.3,2.0,7.4
7,Lloyd Daniels,25,77,10,20.4,3.7,8.4,.443,0.8,2.3,.333,2.9,6.1,.484,.488,0.9,1.3,.727,1.1,1.7,2.8,1.9,0.5,0.4,1.3,1.9,9.1
8,Willie Anderson,26,38,7,14.7,2.1,4.9,.430,0.0,0.2,.125,2.1,4.7,.444,.433,0.6,0.7,.786,0.2,1.3,1.5,2.1,0.4,0.2,1.2,1.4,4.8
9,Sidney Green,32,15,0,13.5,1.3,3.3,.408,0.0,0.0,,1.3,3.3,.408,.408,0.9,1.0,.867,1.2,3.5,4.7,1.3,0.3,0.2,0.8,1.4,3.5
10,Larry Smith,35,66,13,12.6,0.6,1.3,.437,0.0,0.0,,0.6,1.3,.437,.437,0.1,0.3,.409,1.6,2.5,4.1,0.4,0.3,0.2,0.6,2.0,1.3
11,Matt Othick,23,4,0,9.8,0.8,1.3,.600,0.5,1.0,.500,0.3,0.3,1.000,.800,0.0,0.5,.000,0.3,0.3,0.5,1.8,0.3,0.0,1.0,1.8,2.0
12,Terry Cummings,31,8,0,9.5,1.4,3.6,.379,0.0,0.0,,1.4,3.6,.379,.379,0.6,1.3,.500,0.8,1.6,2.4,0.5,0.1,0.1,0.3,2.1,3.4
13,David Wood,28,64,2,9.3,0.8,1.8,.444,0.1,0.3,.238,0.7,1.5,.490,.466,0.7,0.9,.836,0.6,0.9,1.5,0.5,0.2,0.2,0.5,1.5,2.4
14,Sam Mack,22,40,0,6.7,1.2,3.0,.398,0.1,0.6,.136,1.1,2.4,.458,.411,1.1,1.5,.776,0.5,0.8,1.2,0.4,0.4,0.1,0.6,1.1,3.6
15,William Bedford,29,16,0,4.1,0.6,1.7,.333,0.1,0.1,1.000,0.5,1.6,.308,.352,0.4,0.8,.500,0.1,0.6,0.6,0.0,0.0,0.1,0.1,0.9,1.6
