,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Antoine Walker,21,82,82,39.9,8.8,20.8,.423,1.1,3.6,.312,7.7,17.2,.447,.450,3.7,5.8,.645,3.3,6.9,10.2,3.3,1.7,0.7,3.6,3.2,22.4
1,Ron Mercer,21,80,62,33.3,6.4,14.3,.450,0.0,0.4,.107,6.4,14.0,.458,.451,2.4,2.8,.839,1.4,2.1,3.5,2.2,1.6,0.2,1.7,2.7,15.3
2,Walter McCarty,23,82,64,28.5,3.6,8.9,.404,0.7,2.1,.309,2.9,6.8,.434,.441,1.8,2.4,.742,1.7,2.7,4.4,2.2,1.3,0.5,1.7,3.3,9.6
3,Chauncey Billups,21,51,44,25.4,3.5,8.9,.390,1.3,3.7,.339,2.2,5.2,.426,.460,2.9,3.5,.817,0.8,1.4,2.2,4.3,1.5,0.0,2.3,2.3,11.1
4,Kenny Anderson,27,16,16,24.1,4.0,9.2,.435,0.6,1.7,.370,3.4,7.5,.450,.469,2.6,3.1,.837,0.2,2.3,2.4,6.3,1.6,0.0,1.8,2.3,11.2
5,Bruce Bowen,26,61,9,21.4,2.0,4.9,.409,0.3,1.0,.339,1.7,3.9,.427,.443,1.2,2.0,.623,1.3,1.6,2.9,1.3,1.4,0.5,0.9,2.9,5.6
6,Dana Barros,30,80,15,21.1,3.5,7.6,.461,1.3,3.1,.407,2.3,4.5,.499,.544,1.5,1.8,.847,0.4,1.6,1.9,3.6,1.0,0.1,1.3,1.6,9.8
7,Travis Knight,23,74,21,20.3,2.6,5.9,.441,0.2,0.7,.273,2.4,5.2,.465,.458,1.1,1.4,.786,2.0,3.0,4.9,1.4,0.7,1.1,1.2,3.4,6.5
8,Dee Brown,29,41,10,19.8,2.7,6.2,.427,1.0,2.8,.381,1.6,3.5,.465,.512,0.5,0.7,.679,0.2,1.3,1.5,1.3,1.1,0.1,0.8,1.9,6.8
9,Andrew DeClercq,24,81,49,18.8,2.1,4.2,.497,0.0,0.0,.000,2.1,4.2,.499,.497,1.2,2.1,.601,2.2,2.6,4.8,0.7,1.0,0.6,1.0,3.4,5.4
10,Greg Minor,26,69,16,16.3,2.0,4.7,.436,0.1,0.4,.194,1.9,4.2,.462,.445,0.9,1.2,.686,0.8,1.4,2.2,1.3,0.8,0.2,0.6,1.4,5.0
11,Pervis Ellison,30,33,8,13.5,1.2,2.1,.571,0.0,0.0,,1.2,2.1,.571,.571,0.6,1.0,.588,1.6,1.7,3.3,0.9,0.6,0.9,0.8,2.7,3.0
12,Žan Tabak,27,18,5,12.9,1.4,3.1,.473,0.0,0.0,,1.4,3.1,.473,.473,0.4,0.7,.538,1.4,1.8,3.2,0.7,0.3,0.6,0.9,2.6,3.3
13,Tyus Edney,24,52,7,12.0,1.8,4.2,.431,0.1,0.2,.300,1.7,4.0,.437,.438,1.7,2.1,.793,0.4,0.7,1.1,2.7,1.0,0.0,1.3,1.3,5.3
14,John Thomas,22,33,2,11.2,1.2,2.4,.513,0.0,0.0,,1.2,2.4,.513,.513,0.8,1.0,.788,1.0,1.2,2.1,0.4,0.6,0.3,1.0,2.0,3.3
15,Dontae' Jones,22,15,0,6.1,1.3,3.8,.333,0.4,1.5,.261,0.9,2.3,.382,.386,0.0,0.0,,0.2,0.4,0.6,0.3,0.1,0.2,0.7,0.8,2.9
16,Roy Rogers,24,9,0,4.1,0.3,0.9,.375,0.0,0.0,,0.3,0.9,.375,.375,0.1,0.2,.500,0.0,0.6,0.6,0.1,0.2,0.4,0.1,0.7,0.8
17,Reggie Hanson,29,8,0,3.3,0.4,0.8,.500,0.0,0.0,,0.4,0.8,.500,.500,0.0,0.0,,0.4,0.4,0.8,0.1,0.3,0.1,0.4,1.0,0.8
