,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Antoine Walker,26,78,78,41.5,7.7,19.9,.388,2.4,7.5,.323,5.3,12.5,.427,.449,2.3,3.7,.615,1.3,5.9,7.2,4.8,1.5,0.4,3.3,2.8,20.1
1,Paul Pierce,25,79,79,39.2,8.4,20.2,.416,1.5,4.9,.302,6.9,15.2,.454,.454,7.6,9.5,.802,1.3,6.0,7.3,4.4,1.8,0.8,3.6,2.9,25.9
2,Eric Williams,30,82,79,28.7,3.1,7.0,.442,0.5,1.3,.336,2.6,5.7,.467,.474,2.5,3.3,.750,1.7,2.9,4.7,1.7,1.0,0.2,1.2,2.9,9.1
3,Tony Delk,29,67,39,28.0,3.5,8.4,.416,1.8,4.5,.395,1.7,3.8,.441,.523,1.0,1.3,.782,0.6,2.9,3.5,2.2,1.1,0.1,1.0,1.9,9.8
4,Tony Battie,26,67,62,25.1,3.0,5.5,.539,0.0,0.1,.200,3.0,5.4,.544,.541,1.3,1.8,.746,2.2,4.3,6.5,0.7,0.5,1.2,0.7,2.9,7.3
5,Walter McCarty,28,82,8,23.8,2.1,5.1,.414,1.1,3.0,.367,1.0,2.1,.482,.523,0.7,1.2,.622,0.8,2.7,3.5,1.3,1.0,0.3,0.8,2.3,6.1
6,J.R. Bremer,22,64,41,23.5,2.7,7.3,.369,1.6,4.5,.353,1.1,2.8,.393,.477,1.3,1.7,.766,0.3,2.0,2.3,2.6,0.6,0.0,0.9,1.3,8.3
7,Shammond Williams,27,51,2,22.9,2.6,6.6,.396,1.1,3.1,.352,1.5,3.5,.436,.479,0.9,1.1,.842,0.2,1.9,2.2,2.5,1.2,0.1,1.2,1.6,7.3
8,Mark Blount,27,27,7,19.2,1.7,3.0,.563,0.0,0.0,,1.7,3.0,.563,.563,1.1,1.5,.750,1.8,2.8,4.6,0.8,0.7,0.6,1.2,2.8,4.4
9,Vin Baker,31,52,9,18.1,1.9,4.0,.478,0.0,0.1,.000,1.9,3.9,.488,.478,1.4,2.1,.673,1.7,2.1,3.8,0.6,0.4,0.6,1.2,2.8,5.2
10,Kedrick Brown,21,51,5,13.1,1.2,3.4,.357,0.1,0.8,.077,1.1,2.6,.439,.365,0.4,0.6,.625,0.9,1.9,2.7,0.4,0.7,0.3,0.5,1.3,2.8
11,Bimbo Coles,34,14,0,12.5,1.6,3.5,.449,0.0,0.5,.000,1.6,3.0,.524,.449,0.6,0.6,1.000,0.1,0.7,0.8,1.1,0.4,0.0,0.7,1.2,3.7
12,Grant Long,36,41,1,11.9,0.7,1.7,.386,0.0,0.1,.000,0.7,1.6,.403,.386,0.4,0.6,.783,0.6,1.4,2.0,0.6,0.2,0.0,0.5,1.5,1.8
13,Bruno Šundov,22,26,0,5.3,0.5,2.2,.250,0.2,0.6,.250,0.4,1.5,.250,.286,0.0,0.1,.000,0.3,0.8,1.1,0.3,0.2,0.1,0.3,0.9,1.2
14,Mark Bryant,37,2,0,4.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0
15,Mikki Moore,27,3,0,4.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.7,0.0,2.0,0.0
16,Rubén Wolkowyski,29,7,0,3.4,0.3,0.6,.500,0.0,0.1,.000,0.3,0.4,.667,.500,0.1,0.6,.250,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.4,0.7
