,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Larry Bird,31,76,75,39.0,11.6,22.0,.527,1.3,3.1,.414,10.3,18.9,.546,.556,5.5,6.0,.916,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9
1,Danny Ainge,28,81,81,37.3,6.0,12.1,.491,1.8,4.4,.415,4.1,7.7,.534,.566,2.0,2.2,.878,0.7,2.3,3.1,6.2,1.4,0.2,1.9,2.5,15.7
2,Kevin McHale,30,64,63,37.3,8.6,14.2,.604,0.0,0.0,,8.6,14.2,.604,.604,5.4,6.8,.797,2.5,5.9,8.4,2.7,0.4,1.4,2.2,2.8,22.6
3,Dennis Johnson,33,77,74,34.7,4.6,10.4,.438,0.2,0.6,.261,4.4,9.8,.449,.446,3.3,3.9,.856,0.8,2.3,3.1,7.8,1.2,0.4,2.5,2.6,12.6
4,Robert Parish,34,74,73,31.2,6.0,10.1,.589,0.0,0.0,.000,6.0,10.1,.590,.589,2.4,3.3,.734,2.3,6.1,8.5,1.6,0.7,1.1,2.1,2.7,14.3
5,Jim Paxson,30,28,2,19.2,3.4,6.8,.492,0.1,0.5,.154,3.3,6.4,.517,.497,1.9,2.2,.885,0.3,0.7,1.0,1.8,0.8,0.1,1.0,1.6,8.7
6,Jerry Sichting,31,24,1,15.4,1.8,3.4,.537,0.1,0.3,.250,1.8,3.1,.568,.549,0.3,0.5,.667,0.2,0.7,0.9,2.5,0.6,0.0,0.6,1.3,4.1
7,Mark Acres,25,79,5,14.6,1.4,2.6,.532,0.0,0.0,,1.4,2.6,.532,.532,0.9,1.4,.640,1.3,2.1,3.4,0.5,0.4,0.3,0.7,2.5,3.6
8,Dirk Minniefield,27,61,6,14.2,1.4,2.8,.480,0.0,0.2,.273,1.3,2.7,.494,.488,0.4,0.5,.844,0.4,0.9,1.2,3.1,0.7,0.0,1.3,1.8,3.2
9,Darren Daye,27,47,8,13.9,2.4,4.6,.516,0.0,0.0,.000,2.4,4.6,.519,.516,1.3,1.9,.678,0.6,1.0,1.6,1.5,0.6,0.1,0.9,1.4,6.0
10,Fred Roberts,27,74,14,13.9,2.2,4.5,.488,0.0,0.1,.000,2.2,4.4,.497,.488,1.7,2.2,.776,0.8,1.4,2.2,1.1,0.2,0.2,0.9,1.6,6.1
11,Artis Gilmore,38,47,4,11.1,1.2,2.1,.574,0.0,0.0,,1.2,2.1,.574,.574,1.0,1.9,.527,1.1,2.0,3.1,0.3,0.2,0.4,0.8,2.0,3.5
12,Brad Lohaus,23,70,4,10.3,1.7,3.5,.496,0.0,0.2,.231,1.7,3.3,.511,.502,0.7,0.9,.806,0.7,1.3,2.0,0.7,0.3,0.6,0.8,1.8,4.2
13,Reggie Lewis,22,49,0,8.3,1.8,3.9,.466,0.0,0.1,.000,1.8,3.9,.476,.466,0.8,1.2,.702,0.6,0.7,1.3,0.5,0.3,0.3,0.6,1.1,4.5
14,Conner Henry,24,10,0,8.1,1.1,2.8,.393,0.3,0.8,.375,0.8,2.0,.400,.446,0.9,1.0,.900,0.2,0.8,1.0,1.2,0.1,0.1,0.9,1.1,3.4
15,Greg Kite,26,13,0,6.6,0.7,1.8,.391,0.0,0.0,,0.7,1.8,.391,.391,0.1,0.5,.167,0.8,1.1,1.8,0.2,0.2,0.6,0.7,1.2,1.5
