,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Alvin Robertson,25,82,82,36.3,8.0,17.2,.465,0.3,1.2,.284,7.7,16.0,.478,.475,3.3,4.5,.748,2.0,4.1,6.1,6.8,3.0,0.8,3.1,3.7,19.6
1,Johnny Dawkins,24,65,61,33.5,6.2,12.8,.485,0.3,0.9,.311,5.9,11.9,.499,.496,3.0,3.4,.896,1.0,2.1,3.1,7.4,1.4,0.0,2.4,1.5,15.8
2,Frank Brickowski,28,70,68,31.8,6.1,11.5,.528,0.0,0.1,.200,6.1,11.4,.530,.529,3.8,5.0,.768,2.4,4.5,6.9,3.8,1.1,0.5,3.0,3.9,16.0
3,Dave Greenwood,30,45,40,27.5,3.4,7.3,.460,0.0,0.0,.000,3.4,7.2,.463,.460,1.8,2.5,.748,2.0,4.6,6.7,2.2,0.7,0.5,1.6,3.0,8.6
4,Walter Berry,23,73,56,26.3,7.4,13.2,.563,0.0,0.0,,7.4,13.2,.563,.563,2.6,4.4,.600,2.4,3.0,5.4,1.5,0.8,0.9,2.2,2.8,17.4
5,Greg Anderson,23,82,45,24.2,4.6,9.2,.501,0.0,0.1,.200,4.6,9.2,.503,.502,2.4,4.0,.604,2.0,4.3,6.3,1.0,0.7,1.5,1.7,2.8,11.7
6,Mike Mitchell,32,68,20,22.1,5.6,11.5,.482,0.0,0.2,.250,5.5,11.4,.486,.484,2.4,2.9,.825,0.8,2.1,2.9,1.0,0.5,0.2,0.8,1.5,13.5
7,Leon Wood,25,38,8,21.8,3.2,7.4,.426,1.1,2.8,.398,2.0,4.6,.443,.502,1.8,2.4,.758,0.4,0.9,1.3,4.1,0.6,0.0,0.9,1.2,9.3
8,Ricky Wilson,23,18,1,20.7,2.0,5.5,.364,0.5,1.4,.360,1.5,4.1,.365,.409,1.3,1.6,.793,0.1,1.4,1.4,3.5,0.9,0.2,1.2,1.9,5.8
9,Jon Sundvold,26,52,12,19.7,3.4,7.3,.464,0.5,1.2,.406,2.9,6.1,.476,.499,0.8,0.9,.896,0.3,0.7,0.9,3.5,0.5,0.0,1.1,1.0,8.1
10,Pete Myers,24,22,0,14.9,2.0,4.3,.453,0.0,0.2,.000,2.0,4.1,.473,.453,1.2,1.8,.667,0.5,1.2,1.7,2.2,0.8,0.3,1.5,1.4,5.1
11,Pétur Guðmundsson,29,69,9,14.7,2.0,4.1,.496,0.0,0.0,.000,2.0,4.0,.498,.496,1.7,2.1,.807,1.3,3.3,4.7,1.2,0.3,0.9,1.5,2.9,5.7
12,Johnny Moore,29,4,0,12.8,1.0,2.3,.444,0.0,0.3,.000,1.0,2.0,.500,.444,0.0,0.0,,0.3,0.8,1.0,2.8,0.8,0.0,1.0,0.3,2.0
13,Kurt Nimphius,29,72,7,12.8,1.8,3.6,.498,0.0,0.0,.000,1.8,3.6,.500,.498,0.8,1.2,.723,0.9,1.3,2.1,0.7,0.3,0.8,0.7,2.0,4.4
14,Ed Nealy,27,68,1,12.3,0.7,1.6,.459,0.0,0.0,.500,0.7,1.6,.458,.463,0.6,0.9,.651,1.2,2.1,3.3,0.7,0.4,0.1,0.4,1.4,2.1
15,Charles Davis,29,16,0,11.7,2.6,6.1,.433,0.1,0.9,.067,2.6,5.1,.500,.438,0.4,0.6,.700,0.9,1.4,2.4,1.1,0.0,0.2,0.8,1.6,5.8
16,Nate Blackwell,22,10,0,11.2,1.5,4.1,.366,0.2,1.1,.182,1.3,3.0,.433,.390,0.5,0.6,.833,0.2,0.4,0.6,1.8,0.3,0.0,0.8,1.6,3.7
17,Richard Rellford,23,4,0,10.5,1.3,2.0,.625,0.0,0.0,,1.3,2.0,.625,.625,1.5,2.0,.750,0.5,1.3,1.8,0.3,0.0,0.8,1.0,0.8,4.0
18,Phil Zevenbergen,23,8,0,7.3,1.9,3.4,.556,0.0,0.0,,1.9,3.4,.556,.556,0.0,0.3,.000,0.5,1.1,1.6,0.4,0.4,0.1,0.5,1.5,3.8
