,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Michael Jordan,24,82,82,40.4,13.0,24.4,.535,0.1,0.6,.132,13.0,23.7,.546,.537,8.8,10.5,.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0
1,Charles Oakley,24,82,82,34.3,4.6,9.5,.483,0.0,0.1,.250,4.5,9.3,.487,.485,3.2,4.4,.727,4.0,9.0,13.0,3.0,0.8,0.3,2.9,3.3,12.4
2,Sam Vincent,24,29,27,32.9,4.8,10.7,.447,0.1,0.3,.375,4.7,10.4,.449,.451,3.4,3.7,.925,0.6,2.9,3.6,8.4,1.2,0.4,2.9,2.8,13.0
3,Dave Corzine,31,80,32,29.1,4.3,8.9,.481,0.0,0.1,.111,4.3,8.8,.486,.482,1.4,1.9,.752,2.1,4.5,6.6,1.9,0.5,1.2,1.4,1.9,10.1
4,Brad Sellers,25,82,76,27.0,4.0,8.7,.457,0.0,0.1,.143,4.0,8.6,.460,.457,1.5,1.9,.790,1.3,1.7,3.0,1.7,0.4,0.8,1.1,2.1,9.5
5,John Paxson,27,81,30,23.3,3.5,7.2,.493,0.4,1.2,.347,3.1,6.0,.522,.521,0.4,0.6,.733,0.2,1.1,1.3,3.7,0.6,0.0,0.8,1.9,7.9
6,Horace Grant,22,81,6,22.6,3.1,6.3,.501,0.0,0.0,.000,3.1,6.2,.503,.501,1.4,2.2,.626,1.9,3.6,5.5,1.1,0.6,0.7,1.1,2.7,7.7
7,Scottie Pippen,22,79,0,20.9,3.3,7.1,.463,0.1,0.3,.174,3.3,6.8,.475,.466,1.3,2.2,.576,1.5,2.3,3.8,2.1,1.2,0.7,1.7,2.7,7.9
8,Rory Sparrow,29,55,25,18.0,2.0,5.0,.409,0.0,0.2,.167,2.0,4.8,.420,.412,0.4,0.6,.727,0.3,1.0,1.3,2.9,0.7,0.1,0.9,1.3,4.5
9,Sedale Threatt,26,45,0,15.6,2.9,5.8,.502,0.0,0.4,.100,2.9,5.4,.535,.506,0.7,0.9,.780,0.3,1.0,1.2,2.4,0.6,0.1,1.0,1.6,6.6
10,Artis Gilmore,38,24,23,15.5,1.7,3.3,.513,0.0,0.0,,1.7,3.3,.513,.513,0.8,1.5,.514,0.6,2.0,2.6,0.4,0.2,0.5,1.2,2.3,4.2
11,Mike Brown,24,46,27,12.8,1.7,3.8,.448,0.0,0.0,.000,1.7,3.8,.451,.448,0.9,1.5,.577,1.4,2.0,3.5,0.6,0.2,0.1,0.8,1.8,4.3
12,Elston Turner,28,17,0,5.8,0.5,1.8,.267,0.0,0.0,,0.5,1.8,.267,.267,0.1,0.1,.500,0.5,0.1,0.6,0.5,0.5,0.0,0.6,0.3,1.0
13,Granville Waiters,27,22,0,5.2,0.4,1.3,.310,0.0,0.0,.000,0.4,1.3,.321,.310,0.0,0.1,.000,0.4,0.9,1.3,0.0,0.1,0.7,0.3,1.2,0.8
14,Tony White,22,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
