,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jalen Rose,29,30,30,40.5,9.2,19.6,.470,1.2,3.3,.370,8.0,16.2,.491,.502,4.2,5.0,.839,0.5,3.7,4.1,5.3,1.1,0.5,3.2,3.4,23.8
1,Ron Mercer,25,40,40,37.6,7.2,17.9,.399,0.4,1.4,.298,6.7,16.5,.408,.411,2.1,2.7,.778,1.1,2.8,3.9,3.0,0.8,0.3,2.0,2.2,16.8
2,Metta World Peace,22,27,26,30.5,5.6,13.0,.433,1.3,3.4,.396,4.3,9.6,.446,.484,3.0,4.8,.628,1.5,3.4,4.9,2.9,2.8,0.9,2.6,4.0,15.6
3,Brad Miller,25,48,47,29.0,4.3,9.4,.460,0.0,0.1,.500,4.3,9.3,.460,.462,4.0,5.3,.751,3.7,4.7,8.4,2.1,1.1,0.6,1.5,3.3,12.7
4,Trenton Hassell,22,78,47,28.7,3.4,8.1,.425,0.8,2.1,.364,2.7,5.9,.447,.473,1.1,1.5,.763,0.8,2.4,3.3,2.2,0.7,0.6,1.3,2.4,8.7
5,Greg Anthony,34,36,35,26.7,3.1,8.0,.394,0.8,2.5,.322,2.3,5.5,.426,.444,1.3,1.9,.671,0.4,2.0,2.4,5.6,1.4,0.1,1.6,2.0,8.4
6,Travis Best,29,30,18,26.4,3.7,8.5,.441,0.3,0.8,.320,3.5,7.6,.454,.457,1.6,1.7,.922,0.3,2.4,2.7,5.0,1.1,0.0,1.3,2.4,9.3
7,Marcus Fizer,23,76,20,25.8,4.9,11.2,.438,0.1,0.5,.171,4.8,10.6,.451,.442,2.5,3.7,.668,1.7,3.9,5.6,1.6,0.6,0.3,1.7,2.4,12.3
8,Charles Oakley,38,57,36,24.3,1.7,4.6,.369,0.0,0.1,.167,1.7,4.5,.374,.371,0.4,0.5,.750,1.3,4.8,6.0,2.0,0.9,0.2,1.5,3.1,3.8
9,Eddie Robinson,25,29,12,22.5,3.9,8.5,.453,0.1,0.2,.400,3.8,8.3,.455,.457,1.2,1.7,.750,0.8,1.9,2.7,1.3,0.8,0.4,1.2,1.2,9.0
10,Kevin Ollie,29,52,17,22.0,1.9,4.9,.383,0.0,0.0,.500,1.8,4.8,.382,.385,2.1,2.5,.838,0.3,2.1,2.5,3.7,0.7,0.0,1.5,1.2,5.8
11,Jamal Crawford,21,23,6,20.9,3.9,8.1,.476,1.1,2.5,.448,2.7,5.6,.488,.545,0.4,0.6,.769,0.2,1.3,1.5,2.4,0.8,0.2,1.4,0.8,9.3
12,Tyson Chandler,19,71,31,19.6,2.1,4.3,.497,0.0,0.0,,2.1,4.3,.497,.497,1.9,3.1,.604,1.6,3.2,4.8,0.8,0.4,1.3,1.4,2.5,6.1
13,Fred Hoiberg,29,79,8,17.8,1.5,3.7,.416,0.3,1.2,.261,1.2,2.5,.487,.457,1.0,1.2,.840,0.2,2.4,2.7,1.7,0.8,0.1,0.4,1.1,4.4
14,Eddy Curry,19,72,31,16.0,2.6,5.2,.501,0.0,0.0,,2.6,5.2,.501,.501,1.5,2.2,.656,1.5,2.2,3.8,0.3,0.2,0.7,1.0,2.4,6.7
15,A.J. Guyton,23,45,6,13.5,2.0,5.4,.361,1.0,2.7,.374,0.9,2.7,.347,.455,0.5,0.6,.815,0.3,0.7,1.0,1.8,0.2,0.2,0.8,0.5,5.4
16,Dalibor Bagarić,21,50,0,12.8,1.4,3.6,.404,0.0,0.0,.000,1.4,3.5,.407,.404,0.8,1.4,.586,1.1,2.1,3.2,0.5,0.3,0.5,0.9,2.2,3.7
17,Norm Richardson,22,8,0,7.9,1.3,2.9,.435,0.5,1.0,.500,0.8,1.9,.400,.522,0.8,1.1,.667,0.3,0.6,0.9,0.1,0.0,0.0,0.4,0.6,3.8
