,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Eddie Jones,26,80,80,36.4,6.1,12.6,.484,1.8,4.6,.389,4.3,8.0,.538,.555,2.9,3.8,.765,1.1,2.7,3.8,3.1,2.0,0.7,1.8,2.1,16.9
1,Shaquille O'Neal,25,60,57,36.3,11.2,19.1,.584,0.0,0.0,,11.2,19.1,.584,.584,6.0,11.4,.527,3.5,7.9,11.4,2.4,0.7,2.4,2.9,3.2,28.3
2,Rick Fox,28,82,82,33.0,4.4,9.4,.471,1.0,3.2,.325,3.4,6.2,.547,.527,2.1,2.8,.743,1.0,3.4,4.4,3.4,1.2,0.6,2.5,3.8,12.0
3,Nick Van Exel,26,64,46,32.1,4.9,11.6,.419,1.9,4.9,.389,2.9,6.7,.440,.501,2.1,2.7,.791,0.5,2.5,3.0,6.9,1.0,0.1,1.6,1.9,13.8
4,Robert Horry,27,72,71,30.4,2.8,5.8,.476,0.3,1.3,.204,2.5,4.5,.554,.499,1.6,2.3,.692,2.6,4.9,7.5,2.3,1.6,1.3,1.4,3.3,7.4
5,Kobe Bryant,19,79,1,26.0,4.9,11.6,.428,0.9,2.8,.341,4.0,8.8,.456,.469,4.6,5.8,.794,1.0,2.1,3.1,2.5,0.9,0.5,2.0,2.3,15.4
6,Elden Campbell,29,81,28,22.0,3.6,7.7,.463,0.0,0.0,.500,3.6,7.7,.463,.464,2.9,4.2,.693,1.8,3.9,5.6,1.0,0.4,1.3,1.4,2.6,10.1
7,Derek Fisher,23,82,36,21.5,2.0,4.6,.434,0.4,1.0,.383,1.6,3.6,.448,.475,1.4,1.9,.757,0.5,1.9,2.4,4.1,0.9,0.1,1.5,1.5,5.8
8,Corie Blount,29,70,3,14.7,1.5,2.7,.572,0.0,0.1,.000,1.5,2.6,.585,.572,0.6,1.1,.500,1.6,2.6,4.3,0.5,0.4,0.4,0.7,2.2,3.6
9,Sean Rooks,28,41,1,10.4,1.1,2.5,.455,0.0,0.0,,1.1,2.5,.455,.455,1.1,1.9,.595,1.1,1.8,2.9,0.6,0.0,0.6,0.5,1.7,3.4
10,Mario Bennett,24,45,4,7.9,1.8,3.0,.593,0.0,0.0,.500,1.8,3.0,.594,.596,0.4,1.0,.364,1.3,1.5,2.8,0.4,0.4,0.2,0.5,1.4,3.9
11,Jon Barry,28,49,1,7.6,0.8,2.1,.365,0.4,1.2,.295,0.4,0.9,.465,.452,0.6,0.6,.931,0.2,0.6,0.8,1.0,0.5,0.1,0.4,0.7,2.5
12,Shea Seals,22,4,0,2.3,0.3,2.0,.125,0.0,0.8,.000,0.3,1.3,.200,.125,0.5,1.0,.500,0.8,0.3,1.0,0.0,0.3,0.0,0.0,0.3,1.0
