,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
5,Byron Scott,22,74,49,22.1,4.5,9.3,.484,0.1,0.5,.235,4.4,.497,.497,.490,1.5,1.9,.806,0.7,1.5,2.2,2.4,1.1,0.3,1.6,2.4,10.6
6,Bob McAdoo,32,70,0,20.8,5.0,10.7,.471,0.0,0.1,.000,5.0,.474,.474,.471,3.0,3.8,.803,1.2,3.0,4.1,1.1,0.6,0.7,1.8,2.6,13.1
7,Mike McGee,24,77,45,18.5,4.5,7.6,.594,0.0,0.2,.167,4.5,.603,.603,.596,0.8,1.5,.540,1.5,1.0,2.5,1.1,0.6,0.1,1.4,2.3,9.8
8,Kurt Rambis,25,47,31,15.8,1.3,2.4,.558,0.0,0.0,,1.3,.558,.558,.558,0.9,1.4,.636,1.7,3.9,5.7,0.7,0.6,0.3,1.2,2.3,3.6
9,Swen Nater,34,69,0,12.0,1.8,3.7,.490,0.0,0.0,.000,1.8,.492,.492,.490,0.9,1.3,.692,1.2,2.7,3.8,0.4,0.4,0.1,1.0,2.2,4.5
10,Calvin Garrett,27,41,0,11.7,1.9,3.7,.513,0.0,0.1,.333,1.9,.521,.521,.520,0.7,1.0,.769,0.6,1.1,1.7,0.8,0.3,0.0,0.8,1.5,4.6
11,Larry Spriggs,24,38,0,9.6,1.2,2.2,.537,0.0,0.1,.000,1.2,.550,.550,.537,0.9,1.3,.720,0.4,1.2,1.6,0.8,0.3,0.1,0.9,1.4,3.3
12,Mitch Kupchak,29,34,3,9.5,1.2,3.2,.380,0.0,0.0,.000,1.2,.383,.383,.380,0.6,1.0,.647,1.0,1.5,2.6,0.2,0.1,0.2,0.6,1.4,3.1
13,Eddie Jordan,29,3,0,9.0,1.3,2.7,.500,0.0,0.0,,1.3,.500,.500,.500,0.3,0.7,.500,0.0,1.3,1.3,1.7,1.3,0.0,2.7,1.7,3.0
0,Mike Mitchell,28,79,79,36.1,9.9,20.2,.488,0.1,0.2,.429,9.8,.488,.488,.490,3.5,4.5,.779,2.4,4.8,7.2,1.2,0.8,0.9,1.8,3.2,23.3
1,George Gervin,31,76,76,34.0,10.1,20.5,.490,0.1,0.3,.417,9.9,.491,.491,.493,5.6,6.7,.842,1.4,2.7,4.1,2.9,1.0,0.6,2.9,2.9,25.9
2,Gene Banks,24,80,66,32.5,5.3,9.3,.568,0.0,0.1,.167,5.3,.571,.571,.568,2.5,3.4,.741,2.6,4.7,7.3,3.2,1.3,0.3,2.1,3.2,13.1
3,Artis Gilmore,34,64,59,31.8,5.5,8.7,.631,0.0,0.0,.000,5.5,.635,.635,.631,4.4,6.1,.718,3.3,7.0,10.3,1.1,0.6,2.1,2.3,3.6,15.3
4,John Lucas,30,63,39,28.7,4.4,9.4,.462,0.3,1.1,.275,4.1,.487,.487,.478,1.9,2.5,.764,0.4,2.5,2.9,10.7,1.5,0.1,2.3,2.0,10.9
5,Johnny Moore,25,59,42,28.0,3.9,8.8,.446,0.5,1.5,.322,3.4,.471,.471,.473,1.8,2.4,.755,0.6,2.4,3.0,9.6,2.1,0.3,2.4,2.8,10.1
6,Edgar Jones,27,81,33,21.9,4.0,8.0,.500,0.1,0.2,.316,3.9,.506,.506,.505,2.2,3.0,.727,1.8,3.8,5.5,1.0,0.8,1.3,1.5,3.7,10.2
7,Ron Brewer,28,40,5,19.6,3.8,8.6,.441,0.1,0.3,.231,3.7,.449,.449,.445,1.0,1.3,.820,0.4,0.8,1.3,1.1,0.5,0.4,0.8,1.4,8.7
8,Fred Roberts,23,79,8,19.4,2.7,5.1,.536,0.0,0.1,.250,2.7,.539,.539,.538,1.8,2.2,.837,1.3,2.6,3.8,1.2,0.7,0.5,1.3,2.8,7.3
9,Mark McNamara,24,70,3,14.8,2.2,3.6,.621,0.0,0.0,,2.2,.621,.621,.621,1.1,2.2,.471,2.0,2.6,4.5,0.4,0.2,0.2,1.3,2.0,5.5
10,Keith Edmonson,23,40,0,13.0,3.4,6.9,.493,0.0,0.0,,3.4,.493,.493,.493,1.9,2.5,.752,1.0,0.8,1.8,0.7,0.6,0.2,1.1,1.7,8.7
11,Kevin Williams,22,19,0,10.5,1.3,3.1,.431,0.0,0.1,.000,1.3,.439,.439,.431,1.3,1.7,.781,0.2,0.5,0.7,2.3,0.4,0.2,1.2,2.2,3.9
12,John Paxson,23,49,0,9.3,1.2,2.8,.445,0.1,0.4,.182,1.2,.496,.496,.460,0.3,0.5,.615,0.1,0.6,0.7,3.0,0.2,0.0,0.7,1.0,2.9
13,Dave Robisch,34,4,0,9.3,1.0,2.0,.500,0.0,0.0,,1.0,.500,.500,.500,0.0,0.0,,0.5,1.5,2.0,0.3,0.0,0.0,0.3,2.0,2.0
14,Dave Batton,27,4,0,7.8,1.3,2.5,.500,0.0,0.0,,1.3,.500,.500,.500,0.0,0.0,,0.3,0.8,1.0,0.8,0.0,0.8,1.0,1.3,2.5
15,Darrell Lockhart,23,2,0,7.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.000,1.000,1.000,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,1.0,2.5,2.0
16,Brant Weidner,23,8,0,4.8,0.3,1.1,.222,0.0,0.0,,0.3,.222,.222,.222,0.5,0.5,1.000,0.5,0.9,1.4,0.0,0.0,0.3,0.3,0.6,1.0
17,Steve Lingenfelter,25,3,0,4.7,0.3,0.3,1.000,0.0,0.0,,0.3,1.000,1.000,1.000,0.0,0.7,.000,1.0,0.3,1.3,0.3,0.0,0.0,0.3,2.0,0.7
18,Bob Miller,27,2,0,4.0,1.0,1.5,.667,0.0,0.0,,1.0,.667,.667,.667,0.0,0.0,,1.0,1.5,2.5,0.5,0.0,0.5,0.0,2.5,2.0
19,Roger Phegley,27,3,0,3.7,0.7,1.3,.500,0.3,0.3,1.000,0.3,.333,.333,.625,0.7,0.7,1.000,0.0,0.7,0.7,0.7,0.0,0.0,0.3,0.3,2.3
