,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Dee Brown,26,79,69,35.3,5.5,12.4,.447,1.6,4.1,.385,3.9,8.2,.478,.512,3.0,3.5,.852,0.8,2.4,3.2,3.8,1.4,0.6,1.8,2.3,15.6
1,Dino Radja,27,66,48,32.5,6.8,13.9,.490,0.0,0.0,.000,6.8,13.9,.490,.490,3.5,4.7,.759,2.3,6.4,8.7,1.7,0.9,1.3,2.4,3.5,17.2
2,Dominique Wilkins,35,77,64,31.5,6.4,15.2,.424,1.5,3.8,.388,5.0,11.4,.436,.472,3.5,4.4,.782,2.0,3.2,5.2,2.2,0.8,0.2,2.2,1.7,17.8
3,Sherman Douglas,28,65,43,31.5,5.6,11.8,.475,0.3,1.3,.244,5.3,10.6,.502,.488,3.1,4.6,.689,0.7,1.9,2.6,6.9,1.2,0.0,2.5,2.3,14.7
4,Eric Montross,23,78,75,29.7,3.9,7.4,.534,0.0,0.0,.000,3.9,7.4,.535,.534,2.1,3.4,.635,2.5,4.7,7.3,0.5,0.4,0.8,1.4,3.8,10.0
5,David Wesley,24,51,36,27.1,2.5,6.1,.409,1.0,2.3,.429,1.5,3.8,.397,.490,1.4,1.8,.755,0.6,1.7,2.3,5.2,1.6,0.2,1.7,2.8,7.4
6,Xavier McDaniel,31,68,15,21.0,3.6,8.0,.451,0.1,0.3,.286,3.5,7.7,.457,.456,1.3,1.8,.712,1.4,3.0,4.4,1.6,0.4,0.3,1.3,2.1,8.6
7,Pervis Ellison,27,55,11,19.7,2.8,5.5,.507,0.0,0.0,.000,2.8,5.4,.510,.507,1.3,1.8,.717,2.3,3.4,5.6,0.6,0.4,1.0,1.4,3.3,6.8
8,Rick Fox,25,53,7,19.6,3.2,6.6,.481,0.6,1.4,.413,2.6,5.2,.500,.526,1.8,2.3,.772,1.2,1.8,2.9,2.6,1.0,0.4,1.5,2.9,8.8
9,Derek Strong,26,70,24,19.2,2.1,4.7,.453,0.0,0.1,.286,2.1,4.6,.457,.456,2.0,2.5,.820,1.9,3.4,5.4,0.6,0.3,0.2,1.1,2.0,6.3
10,Blue Edwards,29,31,7,16.4,2.7,6.3,.426,0.4,1.4,.256,2.3,4.9,.474,.454,1.4,1.5,.896,0.8,1.3,2.1,1.5,0.6,0.3,1.3,2.1,7.1
11,Greg Minor,23,63,8,15.0,2.5,4.8,.515,0.0,0.2,.167,2.4,4.6,.529,.518,1.0,1.2,.833,0.8,1.4,2.2,1.0,0.5,0.3,0.7,1.4,6.0
12,Jay Humphries,32,6,0,8.7,0.7,1.5,.444,0.0,0.2,.000,0.7,1.3,.500,.444,0.3,0.7,.500,0.3,0.2,0.5,1.7,0.3,0.0,0.8,1.7,1.7
13,Acie Earl,24,30,3,6.9,0.9,2.3,.382,0.0,0.0,,0.9,2.3,.382,.382,0.5,1.0,.483,0.6,0.9,1.5,0.1,0.2,0.3,0.5,1.3,2.2
14,James Blackwell,26,9,0,6.8,0.7,1.1,.600,0.0,0.0,,0.7,1.1,.600,.600,0.2,0.3,.667,0.2,0.7,0.9,0.7,0.3,0.0,0.3,0.8,1.6
15,Tony Dawson,27,2,0,6.5,1.5,4.0,.375,0.5,1.5,.333,1.0,2.5,.400,.438,0.5,0.5,1.000,0.0,1.5,1.5,0.5,0.0,0.0,1.0,2.0,4.0
16,Tony Harris,27,3,0,6.0,1.0,2.7,.375,0.0,0.3,.000,1.0,2.3,.429,.375,2.7,3.0,.889,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,4.7
