,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Shaquille O'Neal,27,79,79,40.0,12.1,21.1,.574,0.0,0.0,.000,12.1,21.1,.575,.574,5.5,10.4,.524,4.3,9.4,13.6,3.8,0.5,3.0,2.8,3.2,29.7
1,Kobe Bryant,21,66,62,38.2,8.4,17.9,.468,0.7,2.2,.319,7.7,15.7,.489,.488,5.0,6.1,.821,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3,22.5
2,Glen Rice,32,80,80,31.6,5.3,12.3,.430,1.1,2.9,.367,4.2,9.4,.449,.472,4.3,5.0,.874,0.7,3.4,4.1,2.2,0.6,0.2,1.4,2.2,15.9
3,Ron Harper,36,80,78,25.5,2.7,6.6,.399,0.4,1.3,.311,2.2,5.3,.421,.430,1.3,1.8,.680,1.2,3.0,4.2,3.4,1.1,0.5,1.7,2.1,7.0
4,A.C. Green,36,82,82,23.5,2.1,4.7,.447,0.0,0.0,.250,2.1,4.7,.449,.448,0.8,1.2,.695,2.0,4.0,5.9,1.0,0.6,0.2,0.6,1.5,5.0
5,Derek Fisher,25,78,22,23.1,2.1,6.2,.346,0.7,2.1,.313,1.5,4.1,.363,.400,1.3,1.9,.724,0.3,1.6,1.8,2.8,1.0,0.0,1.0,1.9,6.3
6,Robert Horry,29,76,0,22.2,2.1,4.8,.438,0.4,1.2,.309,1.7,3.5,.483,.478,1.2,1.5,.788,1.8,3.0,4.8,1.6,1.1,1.1,1.0,2.5,5.7
7,Tyronn Lue,22,8,0,18.3,2.4,4.9,.487,0.5,1.0,.500,1.9,3.9,.484,.538,0.8,1.0,.750,0.3,1.3,1.5,2.1,0.4,0.0,1.1,2.1,6.0
8,Rick Fox,30,82,1,18.0,2.5,6.1,.414,0.7,2.2,.326,1.8,3.9,.464,.473,0.8,1.0,.808,0.8,1.6,2.4,1.7,0.6,0.3,1.1,2.5,6.5
9,Brian Shaw,33,74,2,16.9,1.7,4.4,.382,0.2,0.8,.310,1.4,3.6,.398,.410,0.6,0.7,.759,0.6,2.3,2.9,2.7,0.5,0.2,1.0,1.4,4.1
10,John Celestand,22,16,0,11.6,0.9,2.8,.333,0.1,0.6,.222,0.8,2.3,.361,.356,0.3,0.4,.833,0.1,0.6,0.7,1.3,0.4,0.0,1.0,1.4,2.3
11,Devean George,22,49,1,7.0,1.1,2.9,.389,0.3,1.0,.340,0.8,2.0,.412,.444,0.6,0.8,.659,0.6,0.9,1.5,0.2,0.2,0.1,0.4,1.1,3.2
12,John Salley,35,45,3,6.7,0.6,1.5,.362,0.0,0.0,,0.6,1.5,.362,.362,0.5,0.6,.750,0.4,1.0,1.4,0.6,0.2,0.3,0.4,1.5,1.6
13,Travis Knight,25,63,0,6.5,0.7,1.9,.390,0.0,0.0,,0.7,1.9,.390,.390,0.3,0.4,.607,0.7,1.3,2.0,0.4,0.1,0.4,0.4,1.4,1.7
14,Sam Jacobson,24,3,0,6.0,1.7,3.0,.556,0.0,0.0,,1.7,3.0,.556,.556,0.0,0.7,.000,0.0,0.3,0.3,0.7,0.3,0.0,0.7,0.3,3.3
