,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Michael Jordan,29,78,78,39.3,12.7,25.7,.495,1.0,2.9,.352,11.7,22.7,.514,.515,6.1,7.3,.837,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4,32.6
1,Scottie Pippen,27,81,81,38.6,7.8,16.4,.473,0.3,1.1,.237,7.5,15.2,.491,.482,2.9,4.3,.663,2.5,5.2,7.7,6.3,2.1,0.9,3.0,2.7,18.6
2,Horace Grant,27,77,77,35.6,5.5,10.8,.508,0.0,0.1,.200,5.5,10.7,.510,.508,2.3,3.6,.619,4.4,5.0,9.5,2.6,1.2,1.2,1.4,2.8,13.2
3,B.J. Armstrong,25,82,74,30.4,5.0,10.0,.499,0.8,1.7,.453,4.2,8.3,.508,.537,1.6,1.8,.861,0.3,1.5,1.8,4.0,0.8,0.1,1.0,2.1,12.3
4,Bill Cartwright,35,63,63,19.9,2.2,5.4,.411,0.0,0.0,,2.2,5.4,.411,.411,1.1,1.6,.735,1.3,2.4,3.7,1.3,0.3,0.2,1.0,2.4,5.6
5,Scott Williams,24,71,5,19.3,2.3,5.0,.466,0.0,0.1,.000,2.3,4.9,.476,.466,1.3,1.8,.714,2.4,4.0,6.4,1.0,0.8,0.9,1.0,3.2,5.9
6,John Paxson,32,59,8,17.5,1.8,3.9,.451,0.3,0.7,.463,1.5,3.3,.448,.491,0.3,0.3,.850,0.2,0.7,0.8,2.3,0.6,0.0,0.5,1.7,4.2
7,Rodney McCray,31,64,5,15.9,1.4,3.2,.451,0.0,0.1,.400,1.4,3.1,.452,.456,0.6,0.8,.692,0.8,1.6,2.5,1.3,0.2,0.2,0.8,1.5,3.5
8,Stacey King,26,76,3,13.9,2.1,4.5,.471,0.0,0.1,.333,2.1,4.4,.473,.474,1.1,1.6,.705,1.4,1.3,2.7,0.9,0.3,0.3,0.9,1.7,5.4
9,Will Perdue,27,72,16,13.9,1.9,3.4,.557,0.0,0.0,.000,1.9,3.4,.559,.557,0.9,1.5,.604,1.4,2.6,4.0,1.0,0.3,0.7,1.0,1.9,4.7
10,Trent Tucker,33,69,0,13.2,2.1,4.3,.485,0.8,1.9,.397,1.3,2.4,.555,.573,0.3,0.3,.818,0.2,0.8,1.0,1.2,0.3,0.1,0.3,0.9,5.2
11,Darrell Walker,31,28,0,13.1,1.1,2.8,.403,0.0,0.0,,1.1,2.8,.403,.403,0.4,0.7,.500,0.6,0.8,1.4,1.6,0.8,0.1,0.4,1.8,2.6
12,Ed Nealy,32,11,0,7.2,0.9,2.1,.435,0.1,0.5,.200,0.8,1.6,.500,.457,0.2,0.2,1.000,0.4,1.1,1.5,0.2,0.3,0.1,0.2,0.5,2.1
13,Corey Williams,22,35,0,6.9,0.9,2.4,.365,0.0,0.1,.333,0.9,2.3,.366,.371,0.5,0.6,.818,0.5,0.3,0.9,0.7,0.1,0.1,0.3,0.7,2.3
14,Joe Courtney,23,5,0,6.8,0.8,1.8,.444,0.0,0.0,,0.8,1.8,.444,.444,0.6,0.8,.750,0.4,0.0,0.4,0.2,0.4,0.2,0.6,1.8,2.2
15,Ricky Blanton,26,2,0,6.5,1.5,3.5,.429,0.0,0.0,,1.5,3.5,.429,.429,0.0,0.0,,1.0,0.5,1.5,0.5,1.0,0.0,0.5,0.5,3.0
16,Jo Jo English,22,6,0,5.2,0.5,1.7,.300,0.0,0.5,.000,0.5,1.2,.429,.300,0.0,0.3,.000,0.3,0.7,1.0,0.2,0.5,0.3,0.7,0.8,1.0
