,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Shaquille O'Neal,24,51,51,38.1,10.8,19.4,.557,0.0,0.1,.000,10.8,19.4,.559,.557,4.5,9.4,.484,3.8,8.7,12.5,3.1,0.9,2.9,2.9,3.5,26.2
1,Eddie Jones,25,80,80,37.5,5.9,13.5,.438,1.9,4.9,.391,4.0,8.7,.464,.508,3.5,4.2,.819,1.1,3.0,4.1,3.4,2.4,0.6,2.1,2.8,17.2
2,Nick Van Exel,25,79,79,37.2,5.5,13.6,.402,2.2,5.9,.378,3.2,7.7,.420,.484,2.1,2.5,.825,0.6,2.3,2.9,8.5,0.9,0.1,2.7,1.4,15.3
3,Cedric Ceballos,27,8,8,34.9,4.3,10.4,.410,0.6,2.6,.238,3.6,7.8,.468,.440,1.6,1.9,.867,1.4,5.3,6.6,1.9,0.6,0.8,2.1,2.4,10.8
4,Elden Campbell,28,77,77,32.7,5.7,12.2,.469,0.0,0.1,.250,5.7,12.2,.470,.470,3.4,4.8,.711,2.7,5.3,8.0,1.6,0.6,1.5,1.7,3.6,14.9
5,Robert Horry,26,22,14,30.7,3.4,7.5,.455,1.1,3.5,.329,2.3,4.0,.562,.530,1.3,1.8,.700,1.3,4.1,5.4,2.5,1.7,1.3,1.2,3.3,9.2
6,Jerome Kersey,34,70,44,25.2,2.8,6.4,.432,0.2,0.9,.262,2.5,5.5,.461,.451,1.0,1.7,.602,1.6,3.6,5.2,1.3,1.7,0.7,1.1,3.1,6.8
7,Byron Scott,35,79,8,18.2,2.1,4.8,.430,0.9,2.4,.388,1.1,2.4,.471,.526,1.6,1.9,.841,0.3,1.2,1.5,1.3,0.6,0.2,0.7,0.9,6.7
8,Corie Blount,28,58,18,17.4,1.6,3.1,.514,0.0,0.1,.333,1.6,3.0,.517,.517,1.0,1.4,.675,1.9,2.8,4.8,0.6,0.4,0.4,0.9,2.1,4.2
9,Travis Knight,22,71,14,16.3,2.0,3.9,.509,0.0,0.0,,2.0,3.9,.509,.509,0.9,1.4,.620,1.8,2.7,4.5,0.5,0.4,0.8,0.7,2.4,4.8
10,Kobe Bryant,18,71,6,15.5,2.5,5.9,.417,0.7,1.9,.375,1.8,4.0,.437,.477,1.9,2.3,.819,0.7,1.2,1.9,1.3,0.7,0.3,1.6,1.4,7.6
11,George McCloud,29,23,2,12.4,1.5,4.2,.354,0.9,2.1,.429,0.6,2.0,.277,.464,0.3,0.4,.667,0.3,1.3,1.6,0.7,0.4,0.0,0.4,0.9,4.1
12,Derek Fisher,22,80,3,11.5,1.3,3.3,.397,0.3,0.9,.301,1.0,2.4,.434,.439,1.0,1.5,.658,0.3,0.9,1.2,1.5,0.5,0.1,0.9,1.1,3.9
13,Sean Rooks,27,69,3,10.7,1.3,2.7,.470,0.0,0.0,.000,1.3,2.7,.473,.470,1.3,1.9,.700,0.8,1.6,2.4,0.6,0.2,0.6,0.7,1.8,3.8
14,Rumeal Robinson,30,15,3,8.4,1.1,3.2,.354,0.4,1.5,.261,0.7,1.7,.440,.417,0.3,0.5,.625,0.1,0.5,0.7,0.9,0.3,0.1,0.7,0.8,3.0
15,Joe Kleine,35,8,0,3.8,0.3,1.0,.250,0.0,0.0,,0.3,1.0,.250,.250,0.3,0.3,1.000,0.3,0.9,1.1,0.0,0.0,0.0,0.0,0.8,0.8
16,Larry Krystkowiak,32,3,0,3.7,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.3,0.7,.500,0.7,1.0,1.7,1.0,0.7,0.0,0.3,1.0,1.0
