,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kevin McHale,31,78,74,36.9,8.5,15.5,.546,0.0,0.1,.000,8.5,15.5,.548,.546,5.6,6.8,.818,2.9,5.3,8.2,2.2,0.3,1.2,2.5,2.9,22.5
1,Robert Parish,35,80,80,35.5,7.5,13.1,.570,0.0,0.0,,7.5,13.1,.570,.570,3.7,5.1,.719,4.3,8.2,12.5,2.2,1.0,1.5,2.5,2.6,18.6
2,Reggie Lewis,23,81,57,32.8,7.5,15.3,.486,0.0,0.3,.136,7.4,15.1,.493,.488,3.5,4.5,.787,1.4,3.2,4.7,2.7,1.5,0.9,1.8,3.2,18.5
3,Dennis Johnson,34,72,72,32.1,3.8,8.9,.434,0.1,0.7,.140,3.8,8.2,.459,.440,2.2,2.7,.821,0.4,2.2,2.6,6.6,1.3,0.3,2.4,2.9,10.0
4,Larry Bird,32,6,6,31.5,8.2,17.3,.471,0.0,0.0,,8.2,17.3,.471,.471,3.0,3.2,.947,0.2,6.0,6.2,4.8,1.0,0.8,1.8,3.0,19.3
5,Danny Ainge,29,45,28,30.0,6.0,13.1,.460,1.3,3.4,.374,4.7,9.6,.491,.509,2.5,2.8,.891,0.8,2.6,3.4,4.8,1.2,0.0,1.8,2.4,15.9
6,Brian Shaw,22,82,54,28.1,3.6,8.4,.433,0.0,0.2,.000,3.6,8.2,.441,.433,1.3,1.6,.826,1.5,3.1,4.6,5.8,1.0,0.3,2.3,2.6,8.6
7,Ed Pinckney,25,29,9,23.4,3.3,6.1,.540,0.0,0.0,,3.3,6.1,.540,.540,3.6,4.4,.798,2.1,3.0,5.1,1.5,1.0,0.8,1.3,2.7,10.1
8,Kelvin Upshaw,26,23,0,20.6,3.2,6.5,.490,0.1,0.4,.200,3.1,6.0,.511,.497,0.6,0.9,.700,0.3,1.3,1.6,4.2,0.8,0.1,1.8,2.7,7.0
9,Jim Paxson,31,57,7,20.0,3.5,7.8,.454,0.1,0.4,.167,3.5,7.4,.470,.458,1.5,1.8,.816,0.3,1.0,1.3,1.9,0.7,0.1,1.0,1.7,8.6
10,Joe Kleine,27,28,2,17.8,2.1,4.6,.457,0.0,0.0,.000,2.1,4.6,.461,.457,1.9,2.3,.828,1.8,3.1,4.9,1.1,0.5,0.2,1.3,2.4,6.1
11,Brad Lohaus,24,48,15,15.4,2.4,5.6,.433,0.0,0.1,.000,2.4,5.5,.440,.433,0.7,1.0,.761,1.0,2.0,3.0,1.0,0.4,0.5,1.0,2.1,5.6
12,Mark Acres,26,62,0,10.2,0.9,1.8,.482,0.0,0.0,1.000,0.9,1.8,.478,.487,0.4,0.8,.542,1.0,1.4,2.4,0.3,0.3,0.1,0.4,1.5,2.2
13,Kevin Gamble,23,44,6,8.5,1.7,3.1,.551,0.0,0.3,.182,1.7,2.8,.584,.559,0.8,1.3,.636,0.3,0.7,1.0,0.8,0.3,0.1,0.4,0.9,4.3
14,Otis Birdsong,33,13,0,8.3,1.4,2.8,.500,0.1,0.2,.333,1.3,2.5,.515,.514,0.0,0.2,.000,0.3,0.7,1.0,0.7,0.2,0.1,0.9,0.8,2.8
15,Ron Grandison,24,72,0,7.3,0.8,2.0,.415,0.0,0.1,.000,0.8,1.8,.447,.415,0.8,1.1,.738,0.7,0.6,1.3,0.6,0.3,0.0,0.5,1.0,2.5
16,Ramón Rivas,22,28,0,3.3,0.4,1.1,.387,0.0,0.0,.000,0.4,1.1,.400,.387,0.6,0.9,.640,0.3,0.5,0.9,0.1,0.1,0.0,0.3,0.8,1.4
