,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,David Robinson,28,80,80,40.5,10.5,20.7,.507,0.1,0.4,.345,10.4,20.4,.510,.510,8.7,11.6,.749,3.0,7.7,10.7,4.8,1.7,3.3,3.2,2.9,29.8
1,Dennis Rodman,32,79,51,37.8,2.0,3.7,.534,0.1,0.3,.208,1.9,3.4,.563,.543,0.7,1.3,.520,5.7,11.6,17.3,2.3,0.7,0.4,1.7,2.9,4.7
2,Dale Ellis,33,77,75,33.6,6.2,12.6,.494,1.7,4.3,.395,4.5,8.2,.546,.562,1.1,1.4,.776,0.9,2.4,3.3,1.0,0.9,0.1,1.0,1.8,15.2
3,Willie Anderson,27,80,79,31.1,4.9,10.5,.471,0.3,0.9,.324,4.7,9.6,.484,.484,1.8,2.1,.848,0.9,2.2,3.0,4.3,0.9,0.6,1.9,2.3,11.9
4,Vinny Del Negro,27,77,56,25.3,4.0,8.2,.487,0.2,0.6,.349,3.8,7.7,.497,.499,1.8,2.2,.824,0.4,1.7,2.1,4.2,0.8,0.0,1.3,2.2,10.0
5,Negele Knight,26,64,18,22.3,3.5,7.4,.476,0.1,0.3,.190,3.4,7.0,.489,.480,2.2,2.7,.810,0.4,1.2,1.6,3.1,0.5,0.2,1.5,1.9,9.3
6,Terry Cummings,32,59,29,19.2,3.1,7.3,.428,0.0,0.0,.000,3.1,7.2,.430,.428,1.1,1.8,.589,2.2,2.8,5.0,0.8,0.5,0.2,1.0,2.3,7.3
7,J.R. Reid,25,70,11,19.2,3.7,7.6,.491,0.0,0.0,.000,3.7,7.5,.493,.491,1.5,2.2,.699,1.3,1.8,3.1,1.0,0.6,0.4,1.2,2.4,9.0
8,Lloyd Daniels,26,65,5,15.1,2.2,5.7,.376,0.7,1.9,.352,1.5,3.8,.389,.435,0.7,1.0,.719,0.7,1.0,1.7,1.4,0.4,0.2,0.9,1.1,5.7
9,Sleepy Floyd,33,53,2,13.9,1.3,3.9,.335,0.2,0.7,.222,1.2,3.3,.358,.354,1.0,1.5,.667,0.2,1.1,1.3,1.9,0.2,0.2,1.2,1.3,3.8
10,Antoine Carr,32,34,0,13.7,2.3,4.7,.488,0.0,0.0,.000,2.3,4.7,.491,.488,1.2,1.7,.724,0.4,1.1,1.5,0.4,0.3,0.6,0.4,2.2,5.8
11,Chris Whitney,22,40,4,8.5,0.6,2.1,.305,0.3,0.8,.333,0.4,1.3,.288,.366,0.3,0.4,.800,0.1,0.6,0.7,1.3,0.3,0.0,0.9,1.3,1.8
12,Jack Haley,30,28,0,3.4,0.8,1.7,.438,0.0,0.0,,0.8,1.7,.438,.438,0.6,0.8,.810,0.2,0.6,0.9,0.0,0.0,0.0,0.4,0.6,2.1
13,Chuck Nevitt,34,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,3.0,6.0,.500,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
