,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Reggie Lewis,27,80,80,39.3,8.3,17.6,.470,0.2,0.8,.233,8.1,16.9,.481,.475,4.1,4.7,.867,1.1,3.2,4.3,3.7,1.5,1.0,1.7,3.1,20.8
1,Kevin Gamble,27,82,58,31.0,5.6,11.0,.507,0.6,1.7,.374,5.0,9.4,.531,.535,1.5,1.8,.826,0.6,2.4,3.0,2.8,1.0,0.5,1.0,2.3,13.3
2,Dee Brown,24,80,48,28.2,4.1,8.8,.468,0.3,1.0,.317,3.8,7.7,.488,.486,2.4,3.0,.793,0.6,2.5,3.1,5.8,1.7,0.4,1.7,2.5,10.9
3,Robert Parish,39,79,79,27.2,5.3,9.8,.535,0.0,0.0,,5.3,9.8,.535,.535,2.1,3.0,.689,3.1,6.3,9.4,0.8,0.7,1.4,1.5,2.5,12.6
4,Xavier McDaniel,29,82,27,27.0,5.6,11.3,.495,0.1,0.3,.273,5.5,11.0,.500,.498,2.3,2.9,.793,2.0,3.9,6.0,2.0,0.9,0.6,2.1,3.0,13.5
5,Sherman Douglas,26,79,36,24.5,3.3,6.7,.498,0.1,0.4,.207,3.3,6.3,.515,.504,1.1,1.9,.560,0.8,1.2,2.1,6.4,0.6,0.1,2.0,2.1,7.8
6,Kevin McHale,35,71,0,23.3,4.2,9.1,.459,0.0,0.3,.111,4.2,8.9,.469,.461,2.3,2.7,.841,1.3,3.7,5.0,1.0,0.2,0.8,1.3,1.8,10.7
7,Ed Pinckney,29,7,5,21.6,1.4,3.4,.417,0.0,0.0,,1.4,3.4,.417,.417,1.7,1.9,.923,2.0,4.1,6.1,0.1,0.6,1.0,1.1,1.9,4.6
8,Alaa Abdelnaby,24,63,52,18.3,3.5,6.6,.525,0.0,0.0,,3.5,6.6,.525,.525,1.2,1.6,.760,1.8,3.0,4.8,0.3,0.3,0.3,1.3,2.6,8.2
9,Rick Fox,23,71,14,15.2,2.6,5.4,.484,0.1,0.3,.174,2.5,5.0,.504,.489,1.1,1.4,.802,0.8,1.5,2.2,1.6,0.9,0.3,1.1,1.9,6.4
10,Joe Kleine,31,78,3,14.5,1.4,3.4,.404,0.0,0.1,.000,1.4,3.3,.414,.404,0.5,0.7,.707,1.4,3.0,4.4,0.5,0.2,0.2,0.5,1.6,3.3
11,John Bagley,32,10,0,9.7,0.9,2.5,.360,0.0,0.1,.000,0.9,2.4,.375,.360,0.5,0.6,.833,0.1,0.6,0.7,2.0,0.2,0.0,1.7,1.1,2.3
12,Kenny Battle,28,3,1,9.7,2.0,4.3,.462,0.0,0.3,.000,2.0,4.0,.500,.462,0.7,0.7,1.000,2.3,1.3,3.7,0.7,0.3,0.0,0.7,0.7,4.7
13,Lorenzo Williams,23,22,7,6.9,0.7,1.4,.516,0.0,0.0,,0.7,1.4,.516,.516,0.1,0.3,.286,0.6,1.4,2.0,0.2,0.2,0.6,0.3,1.0,1.5
14,Bart Kofoed,28,7,0,5.9,0.4,1.9,.231,0.0,0.1,.000,0.4,1.7,.250,.231,1.6,2.0,.786,0.0,0.1,0.1,1.4,0.3,0.1,0.4,0.1,2.4
15,Marcus Webb,22,9,0,5.7,1.4,2.8,.520,0.0,0.1,.000,1.4,2.7,.542,.520,1.4,2.3,.619,0.6,0.6,1.1,0.2,0.1,0.2,0.6,1.2,4.3
16,Joe Wolf,28,2,0,4.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.5,1.0,.500,0.5,1.0,1.5,0.0,0.0,0.5,1.0,1.0,0.5
