,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Michael Jordan,34,82,82,38.8,10.7,23.1,.465,0.4,1.5,.238,10.4,21.5,.482,.473,6.9,8.8,.784,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7
1,Scottie Pippen,32,44,44,37.5,7.2,16.0,.447,1.4,4.4,.318,5.8,11.6,.496,.491,3.4,4.4,.777,1.2,4.0,5.2,5.8,1.8,1.0,2.5,2.6,19.1
2,Dennis Rodman,36,80,66,35.7,1.9,4.5,.431,0.1,0.3,.174,1.9,4.2,.448,.436,0.8,1.4,.550,5.3,9.8,15.0,2.9,0.6,0.2,1.8,3.0,4.7
3,Toni Kukoč,29,74,52,30.2,5.2,11.4,.455,0.9,2.4,.362,4.3,9.0,.480,.493,2.1,3.0,.708,1.6,2.8,4.4,4.2,1.0,0.5,2.1,2.0,13.3
4,Luc Longley,29,58,58,29.4,4.8,10.5,.455,0.0,0.0,,4.8,10.5,.455,.455,1.9,2.6,.736,1.9,3.9,5.9,2.8,0.6,1.1,2.2,3.6,11.4
5,Ron Harper,34,82,82,27.9,3.6,8.1,.441,0.2,1.0,.190,3.4,7.1,.477,.453,2.0,2.6,.750,1.3,2.2,3.5,2.9,1.3,0.6,1.1,2.2,9.3
6,Steve Kerr,32,50,0,22.4,2.7,6.0,.454,1.1,2.6,.438,1.6,3.4,.465,.548,0.9,1.0,.918,0.3,1.3,1.5,1.9,0.5,0.1,0.5,1.4,7.5
7,Randy Brown,29,71,6,16.2,1.6,4.3,.384,0.0,0.1,.000,1.6,4.2,.391,.384,0.8,1.1,.718,0.5,0.8,1.3,2.1,1.0,0.2,0.9,1.7,4.1
8,Jason Caffey,24,51,8,13.9,2.0,3.9,.503,0.0,0.0,.000,2.0,3.9,.505,.503,1.3,2.0,.660,1.5,1.9,3.4,0.7,0.3,0.3,0.9,1.8,5.3
9,Scott Burrell,27,80,3,13.7,2.0,4.7,.424,0.6,1.8,.354,1.4,2.9,.468,.492,0.6,0.8,.734,1.0,1.5,2.5,0.8,0.8,0.5,0.6,1.6,5.2
10,Dickey Simpkins,25,21,0,11.3,1.2,2.0,.634,0.0,0.0,.000,1.2,1.9,.650,.634,1.2,2.1,.591,0.4,1.1,1.5,0.8,0.2,0.1,0.6,1.7,3.7
11,Rusty LaRue,24,14,0,10.0,1.4,3.5,.408,0.3,1.1,.250,1.1,2.4,.485,.449,0.4,0.6,.625,0.1,0.5,0.6,0.4,0.2,0.1,0.4,0.9,3.5
12,Bill Wennington,34,48,8,9.7,1.6,3.6,.436,0.0,0.0,,1.6,3.6,.436,.436,0.4,0.4,.810,0.7,1.0,1.7,0.4,0.1,0.1,0.3,1.6,3.5
13,Joe Kleine,36,46,1,8.6,0.8,2.3,.368,0.0,0.0,,0.8,2.3,.368,.368,0.3,0.4,.833,0.6,1.1,1.7,0.7,0.1,0.1,0.6,1.4,2.0
14,Jud Buechler,29,74,0,8.2,1.1,2.4,.483,0.3,0.9,.385,0.8,1.5,.541,.554,0.0,0.1,.500,0.3,0.7,1.0,0.7,0.3,0.2,0.3,0.6,2.7
15,Keith Booth,23,6,0,2.8,0.3,1.0,.333,0.0,0.2,.000,0.3,0.8,.400,.333,1.0,1.0,1.000,0.3,0.3,0.7,0.2,0.0,0.0,0.5,0.5,1.7
16,David Vaughn,24,3,0,2.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.7,1.3,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.3
